trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1373312457.sql;1373532250.sql;-;-;-;-;-;-;-
2;1373532250.sql;1386172620.sql;storage_images;Insertion:NewTable;data;BLOB;false;0;-
2;1373532250.sql;1386172620.sql;storage_images;Insertion:NewTable;imageIdentifier;CHAR(32);false;0;-
2;1373532250.sql;1386172620.sql;storage_images;Insertion:NewTable;publicKey;VARCHAR(255);false;0;-
2;1373532250.sql;1386172620.sql;storage_images;Insertion:NewTable;updated;INT(10);false;0;-
3;1386172620.sql;1392826904.sql;imageinfo;Insertion:UpdateTable;originalChecksum;CHAR(32);false;0;-
4;1392826904.sql;1416332557.sql;storage_image_variations;Insertion:NewTable;data;BLOB;false;0;-
4;1392826904.sql;1416332557.sql;storage_image_variations;Insertion:NewTable;imageIdentifier;CHAR(32);false;0;-
4;1392826904.sql;1416332557.sql;storage_image_variations;Insertion:NewTable;publicKey;VARCHAR(255);false;0;-
4;1392826904.sql;1416332557.sql;storage_image_variations;Insertion:NewTable;width;INT(10);false;0;-
5;1416332557.sql;1416336558.sql;imagevariations;Insertion:NewTable;added;INT(10);false;0;-
5;1416332557.sql;1416336558.sql;imagevariations;Insertion:NewTable;height;INT(10);false;0;-
5;1416332557.sql;1416336558.sql;imagevariations;Insertion:NewTable;imageIdentifier;CHAR(32);false;0;-
5;1416332557.sql;1416336558.sql;imagevariations;Insertion:NewTable;publicKey;VARCHAR(255);false;0;-
5;1416332557.sql;1416336558.sql;imagevariations;Insertion:NewTable;width;INT(10);false;0;-
6;1416336558.sql;1418116964.sql;imageinfo;Deletion:UpdateTable;publicKey;VARCHAR(255);false;0;-
6;1416336558.sql;1418116964.sql;imageinfo;Insertion:UpdateTable;user;VARCHAR(255);false;0;-
6;1416336558.sql;1418116964.sql;imagevariations;Deletion:UpdateTable;publicKey;VARCHAR(255);false;0;-
6;1416336558.sql;1418116964.sql;imagevariations;Insertion:UpdateTable;user;VARCHAR(255);false;0;-
6;1416336558.sql;1418116964.sql;shorturl;Deletion:UpdateTable;publicKey;VARCHAR(255);false;0;-
6;1416336558.sql;1418116964.sql;shorturl;Insertion:UpdateTable;user;VARCHAR(255);false;0;-
6;1416336558.sql;1418116964.sql;storage_image_variations;Deletion:UpdateTable;publicKey;VARCHAR(255);false;0;-
6;1416336558.sql;1418116964.sql;storage_image_variations;Insertion:UpdateTable;user;VARCHAR(255);false;0;-
6;1416336558.sql;1418116964.sql;storage_images;Deletion:UpdateTable;publicKey;VARCHAR(255);false;0;-
6;1416336558.sql;1418116964.sql;storage_images;Insertion:UpdateTable;user;VARCHAR(255);false;0;-
7;1418116964.sql;1443447204.sql;imageinfo;Update:TypeChange;imageIdentifier;CHAR(36);false;0;-
7;1418116964.sql;1443447204.sql;imagevariations;Update:TypeChange;imageIdentifier;CHAR(36);false;0;-
7;1418116964.sql;1443447204.sql;shorturl;Update:TypeChange;imageIdentifier;CHAR(36);false;0;-
7;1418116964.sql;1443447204.sql;storage_image_variations;Update:TypeChange;imageIdentifier;CHAR(36);false;0;-
7;1418116964.sql;1443447204.sql;storage_images;Update:TypeChange;imageIdentifier;CHAR(36);false;0;-
8;1443447204.sql;1444215579.sql;imageinfo;Update:TypeChange;imageIdentifier;VARCHAR(255);false;0;-
8;1443447204.sql;1444215579.sql;imagevariations;Update:TypeChange;imageIdentifier;VARCHAR(255);false;0;-
8;1443447204.sql;1444215579.sql;shorturl;Update:TypeChange;imageIdentifier;VARCHAR(255);false;0;-
8;1443447204.sql;1444215579.sql;storage_image_variations;Update:TypeChange;imageIdentifier;VARCHAR(255);false;0;-
8;1443447204.sql;1444215579.sql;storage_images;Update:TypeChange;imageIdentifier;VARCHAR(255);false;0;-
9;1444215579.sql;1493183525.sql;storage_image_variations;Deletion:DeleteTable;data;BLOB;false;0;-
9;1444215579.sql;1493183525.sql;storage_image_variations;Deletion:DeleteTable;imageIdentifier;VARCHAR(255);false;0;-
9;1444215579.sql;1493183525.sql;storage_image_variations;Deletion:DeleteTable;user;VARCHAR(255);false;0;-
9;1444215579.sql;1493183525.sql;storage_image_variations;Deletion:DeleteTable;width;INT(10);false;0;-
9;1444215579.sql;1493183525.sql;storage_images;Deletion:DeleteTable;data;BLOB;false;0;-
9;1444215579.sql;1493183525.sql;storage_images;Deletion:DeleteTable;imageIdentifier;VARCHAR(255);false;0;-
9;1444215579.sql;1493183525.sql;storage_images;Deletion:DeleteTable;updated;INT(10);false;0;-
9;1444215579.sql;1493183525.sql;storage_images;Deletion:DeleteTable;user;VARCHAR(255);false;0;-
