trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1370947732		1370947732.sql	2013-06-11 10:48:52	0	0	0		1		17	1	0	17	0	0	0	0	0			17	0	0	17	0	17	
1	1371118944	1370947732.sql	1371118944.sql	2013-06-13 10:22:24	1	1	1	1	2	17	21	1	0	2	0	2	0	0	0	1	4	4	0	0	4	0	4	
2	1371637204	1371118944.sql	1371637204.sql	2013-06-19 10:20:04	7	1	1	2	2	21	21	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	
3	1388065207	1371637204.sql	1388065207.sql	2013-12-26 13:40:07	198	1	7	2	2	21	22	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
4	1394641875	1388065207.sql	1394641875.sql	2014-03-12 16:31:15	274	1	10	2	2	22	22	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	
5	1405437763	1394641875.sql	1405437763.sql	2014-07-15 15:22:43	399	2	14	2	2	22	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1410868591	1405437763.sql	1410868591.sql	2014-09-16 11:56:31	462	2	16	2	3	22	28	1	0	6	0	0	0	0	0	1	6	6	0	0	6	0	6	
7	1423658074	1410868591.sql	1423658074.sql	2015-02-11 12:34:34	610	2	21	3	3	28	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	1455710033	1423658074.sql	1455710033.sql	2016-02-17 11:53:53	981	3	33	3	3	28	28	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	
9	1455713189	1455710033.sql	1455713189.sql	2016-02-17 12:46:29	981	3	33	3	3	28	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
