trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1394758788.sql;1394760377.sql;-;-;-;-;-;-;-
2;1394760377.sql;1394760949.sql;-;-;-;-;-;-;-
3;1394760949.sql;1394761166.sql;-;-;-;-;-;-;-
4;1394761166.sql;1394825954.sql;-;-;-;-;-;-;-
5;1394825954.sql;1395711002.sql;-;-;-;-;-;-;-
6;1395711002.sql;1396101655.sql;band_concert;Deletion:UpdateTable;date;DATE;false;0;-
6;1395711002.sql;1396101655.sql;band_concert;Deletion:UpdateTable;time;TIME;false;0;-
6;1395711002.sql;1396101655.sql;band_concert_record;Insertion:NewTable;band_id;INT(11);false;0;-
6;1395711002.sql;1396101655.sql;band_concert_record;Insertion:NewTable;concert_id;INT(11);false;0;-
6;1395711002.sql;1396101655.sql;band_concert_record;Insertion:NewTable;date;DATE;false;0;-
6;1395711002.sql;1396101655.sql;band_concert_record;Insertion:NewTable;id;INT(11);false;0;-
6;1395711002.sql;1396101655.sql;band_concert_record;Insertion:NewTable;time;TIME;false;0;-
6;1395711002.sql;1396101655.sql;ticket_record;Insertion:NewTable;concert_id;INT(11);false;0;-
6;1395711002.sql;1396101655.sql;ticket_record;Insertion:NewTable;id;INT(11);false;0;-
6;1395711002.sql;1396101655.sql;ticket_record;Insertion:NewTable;price;DOUBLE;false;0;-
6;1395711002.sql;1396101655.sql;ticket_record;Insertion:NewTable;retailer_id;INT(11);false;0;-
6;1395711002.sql;1396101655.sql;ticket_record;Insertion:NewTable;timestamp;DATETIME;false;0;-
6;1395711002.sql;1396101655.sql;ticket_records;Deletion:DeleteTable;concert_id;INT(11);false;0;-
6;1395711002.sql;1396101655.sql;ticket_records;Deletion:DeleteTable;id;INT(11);false;0;-
6;1395711002.sql;1396101655.sql;ticket_records;Deletion:DeleteTable;price;DOUBLE;false;0;-
6;1395711002.sql;1396101655.sql;ticket_records;Deletion:DeleteTable;retailer_id;INT(11);false;0;-
6;1395711002.sql;1396101655.sql;ticket_records;Deletion:DeleteTable;timestamp;DATETIME;false;0;-
7;1396101655.sql;1397408213.sql;concert;Update:TypeChange;end;DATE;false;0;-
7;1396101655.sql;1397408213.sql;concert;Update:TypeChange;start;DATE;false;0;-
