trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1410196139		1410196139.sql	2014-09-08 17:08:59	0	0	0		10		75	10	0	75	0	0	0	0	0			75	0	0	75	0	75	
1	1410428734	1410196139.sql	1410428734.sql	2014-09-11 09:45:34	2	1	1	10	10	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	1410443680	1410428734.sql	1410443680.sql	2014-09-11 13:54:40	2	1	1	10	10	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1410444007	1410443680.sql	1410444007.sql	2014-09-11 14:00:07	2	1	1	10	10	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	1411377273	1410444007.sql	1411377273.sql	2014-09-22 09:14:33	13	1	1	10	10	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1413998142	1411377273.sql	1413998142.sql	2014-10-22 17:15:42	44	1	2	10	10	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1415231770	1413998142.sql	1415231770.sql	2014-11-05 23:56:10	58	1	2	10	10	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	1422381495	1415231770.sql	1422381495.sql	2015-01-27 17:58:15	141	1	5	10	10	75	75	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
8	1422456561	1422381495.sql	1422456561.sql	2015-01-28 14:49:21	141	1	5	10	10	75	75	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	
9	1427643027	1422456561.sql	1427643027.sql	2015-03-29 15:30:27	201	1	7	10	10	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	1428680680	1427643027.sql	1428680680.sql	2015-04-10 15:44:40	213	1	8	10	10	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	1429212551	1428680680.sql	1429212551.sql	2015-04-16 19:29:11	220	1	8	10	10	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	1462967217	1429212551.sql	1462967217.sql	2016-05-11 11:46:57	610	2	21	10	10	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
