trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1410428734;1410196139.sql;1410428734.sql;10;10;75;75;0;0;0;0;0;0;0;0
2;1410443680;1410428734.sql;1410443680.sql;10;10;75;75;0;0;0;0;0;0;0;0
3;1410444007;1410443680.sql;1410444007.sql;10;10;75;75;0;0;0;0;0;0;0;0
4;1411377273;1410444007.sql;1411377273.sql;10;10;75;75;0;0;0;0;0;0;0;0
5;1413998142;1411377273.sql;1413998142.sql;10;10;75;75;0;0;0;0;0;0;0;0
6;1415231770;1413998142.sql;1415231770.sql;10;10;75;75;0;0;0;0;0;0;0;0
7;1422381495;1415231770.sql;1422381495.sql;10;10;75;75;0;0;0;0;1;0;0;0
8;1422456561;1422381495.sql;1422456561.sql;10;10;75;75;0;0;0;0;1;0;0;0
9;1427643027;1422456561.sql;1427643027.sql;10;10;75;75;0;0;0;0;0;0;0;0
10;1428680680;1427643027.sql;1428680680.sql;10;10;75;75;0;0;0;0;0;0;0;0
11;1429212551;1428680680.sql;1429212551.sql;10;10;75;75;0;0;0;0;0;0;0;0
12;1462967217;1429212551.sql;1462967217.sql;10;10;75;75;0;0;0;0;0;0;0;0
