trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1433104947		1433104947.sql	2015-05-31 20:42:27	0	0	0	0	51	0	430	51	0	430	0	0	0	0	0	0	0	430	0	0	430	0	430	1	0	1
1	1433106241	1433104947.sql	1433106241.sql	2015-05-31 21:04:01	0	1	1	51	51	430	430	51	51	430	430	0	0	0	0	0	0	430	430	0	430	430	860	1	0	1
2	1435704198	1433106241.sql	1435704198.sql	2015-06-30 22:43:18	30	1	1	51	26	430	309	0	25	0	121	0	0	0	0	-25	-121	0	121	0	0	121	121	1	0	1
3	1435954607	1435704198.sql	1435954607.sql	2015-07-03 20:16:47	32	1	2	26	25	309	277	0	1	0	32	0	0	0	0	-1	-32	0	32	0	0	32	32	1	0	1
4	1435972370	1435954607.sql	1435972370.sql	2015-07-04 01:12:50	33	1	2	25	24	277	270	0	1	0	7	0	0	0	0	-1	-7	0	7	0	0	7	7	0	1	1
5	1436106980	1435972370.sql	1436106980.sql	2015-07-05 14:36:20	34	1	2	24	23	270	259	0	1	0	11	0	0	0	0	-1	-11	0	11	0	0	11	11	0	1	1
6	1436217505	1436106980.sql	1436217505.sql	2015-07-06 21:18:25	36	1	2	23	18	259	178	0	5	0	81	0	0	0	0	-5	-81	0	81	0	0	81	81	1	0	1
7	1436319566	1436217505.sql	1436319566.sql	2015-07-08 01:39:26	37	1	2	18	17	178	149	0	1	0	29	0	0	0	0	-1	-29	0	29	0	0	29	29	1	0	1
8	1436491781	1436319566.sql	1436491781.sql	2015-07-10 01:29:41	39	1	2	17	17	149	149	6	6	32	32	0	0	0	0	0	0	32	32	0	32	32	64	1	0	1
9	1436492123	1436491781.sql	1436492123.sql	2015-07-10 01:35:23	39	1	2	17	17	149	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1436492590	1436492123.sql	1436492590.sql	2015-07-10 01:43:10	39	1	2	17	17	149	149	1	1	6	6	0	0	0	0	0	0	6	6	0	6	6	12	0	1	1
11	1436546734	1436492590.sql	1436546734.sql	2015-07-10 16:45:34	39	1	2	17	17	149	149	1	1	7	7	0	0	0	0	0	0	7	7	0	7	7	14	0	1	1
12	1436561787	1436546734.sql	1436561787.sql	2015-07-10 20:56:27	40	1	2	17	17	149	149	1	1	4	4	0	0	0	0	0	0	4	4	0	4	4	8	0	1	1
13	1447072640	1436561787.sql	1447072640.sql	2015-11-09 12:37:20	161	1	6	17	17	149	149	1	1	4	4	0	0	0	0	0	0	4	4	0	4	4	8	0	1	1
14	1457022124	1447072640.sql	1457022124.sql	2016-03-03 16:22:04	276	1	10	17	18	149	152	1	0	3	0	0	0	0	0	1	3	3	0	0	3	0	3	0	1	1
15	1485761464	1457022124.sql	1485761464.sql	2017-01-30 07:31:04	609	2	20	18	17	152	151	0	1	0	3	3	1	6	0	-1	-1	3	4	6	3	10	13	0	1	1
16	1486965987	1485761464.sql	1486965987.sql	2017-02-13 06:06:27	623	2	21	17	17	151	152	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
17	1492637370	1486965987.sql	1492637370.sql	2017-04-19 21:29:30	689	2	23	17	18	152	155	1	0	3	0	0	0	0	0	1	3	3	0	0	3	0	3	0	1	1
