trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1433106241;1433104947.sql;1433106241.sql;51;51;430;430;51;51;0;0;0;0;430;430
2;1435704198;1433106241.sql;1435704198.sql;51;26;430;309;0;25;0;0;0;0;0;121
3;1435954607;1435704198.sql;1435954607.sql;26;25;309;277;0;1;0;0;0;0;0;32
4;1435972370;1435954607.sql;1435972370.sql;25;24;277;270;0;1;0;0;0;0;0;7
5;1436106980;1435972370.sql;1436106980.sql;24;23;270;259;0;1;0;0;0;0;0;11
6;1436217505;1436106980.sql;1436217505.sql;23;18;259;178;0;5;0;0;0;0;0;81
7;1436319566;1436217505.sql;1436319566.sql;18;17;178;149;0;1;0;0;0;0;0;29
8;1436491781;1436319566.sql;1436491781.sql;17;17;149;149;6;6;0;0;0;0;32;32
9;1436492123;1436491781.sql;1436492123.sql;17;17;149;149;0;0;0;0;0;0;0;0
10;1436492590;1436492123.sql;1436492590.sql;17;17;149;149;1;1;0;0;0;0;6;6
11;1436546734;1436492590.sql;1436546734.sql;17;17;149;149;1;1;0;0;0;0;7;7
12;1436561787;1436546734.sql;1436561787.sql;17;17;149;149;1;1;0;0;0;0;4;4
13;1447072640;1436561787.sql;1447072640.sql;17;17;149;149;1;1;0;0;0;0;4;4
14;1457022124;1447072640.sql;1457022124.sql;17;18;149;152;1;0;0;0;0;0;3;0
15;1485761464;1457022124.sql;1485761464.sql;18;17;152;151;0;1;3;1;6;0;0;3
16;1486965987;1485761464.sql;1486965987.sql;17;17;151;152;0;0;1;0;0;0;0;0
17;1492637370;1486965987.sql;1492637370.sql;17;18;152;155;1;0;0;0;0;0;3;0
