table;dur;birth;death;chngs;s@s;s@e;sAvg
#__assets;1;0;0;0;9;9;9.0
#__associations;1;0;0;0;4;4;4.0
#__categories;1;0;0;0;29;29;29.0
#__content;1;0;0;0;32;32;32.0
#__content_frontpage;1;0;0;0;2;2;2.0
#__content_types;1;0;0;0;9;9;9.0
#__contentitem_tag_map;1;0;0;0;7;7;7.0
#__extensions;1;0;0;0;17;17;17.0
#__finder_filters;1;0;0;0;14;14;14.0
#__finder_links;1;0;0;0;19;19;19.0
#__finder_links_terms0;1;0;0;0;3;3;3.0
#__finder_links_terms1;1;0;0;0;3;3;3.0
#__finder_links_terms2;1;0;0;0;3;3;3.0
#__finder_links_terms3;1;0;0;0;3;3;3.0
#__finder_links_terms4;1;0;0;0;3;3;3.0
#__finder_links_terms5;1;0;0;0;3;3;3.0
#__finder_links_terms6;1;0;0;0;3;3;3.0
#__finder_links_terms7;1;0;0;0;3;3;3.0
#__finder_links_terms8;1;0;0;0;3;3;3.0
#__finder_links_terms9;1;0;0;0;3;3;3.0
#__finder_links_termsa;1;0;0;0;3;3;3.0
#__finder_links_termsb;1;0;0;0;3;3;3.0
#__finder_links_termsc;1;0;0;0;3;3;3.0
#__finder_links_termsd;1;0;0;0;3;3;3.0
#__finder_links_termse;1;0;0;0;3;3;3.0
#__finder_links_termsf;1;0;0;0;3;3;3.0
#__finder_taxonomy;1;0;0;0;6;6;6.0
#__finder_taxonomy_map;1;0;0;0;2;2;2.0
#__finder_terms;1;0;0;0;9;9;9.0
#__finder_terms_common;1;0;0;0;2;2;2.0
#__finder_tokens;1;0;0;0;7;7;7.0
#__finder_tokens_aggregate;1;0;0;0;11;11;11.0
#__finder_types;1;0;0;0;3;3;3.0
#__languages;1;0;0;0;13;13;13.0
#__menu;1;0;0;0;26;26;26.0
#__menu_types;1;0;0;0;4;4;4.0
#__modules;1;0;0;0;19;19;19.0
#__modules_menu;1;0;0;0;2;2;2.0
#__schemas;1;0;0;0;2;2;2.0
#__session;1;0;0;0;7;7;7.0
#__tags;1;0;0;0;32;32;32.0
#__template_styles;1;0;0;0;6;6;6.0
#__ucm_base;1;0;0;0;4;4;4.0
#__ucm_content;1;0;0;0;34;34;34.0
#__ucm_history;1;0;0;0;11;11;11.0
#__user_keys;1;0;0;0;7;7;7.0
#__user_profiles;1;0;0;0;4;4;4.0
#__user_usergroup_map;1;0;0;0;3;3;3.0
#__usergroups;1;0;0;0;6;6;6.0
#__users;1;0;0;0;15;15;15.0
#__viewlevels;1;0;0;0;5;5;5.0
assets;17;1;-;0;9;9;9.0
associations;11;1;11;0;4;4;4.0
categories;6;1;6;0;29;29;29.0
content;5;1;5;0;32;32;32.0
content_frontpage;5;1;5;0;2;2;2.0
content_types;5;1;5;0;9;9;9.0
contentitem_tag_map;3;1;3;0;7;7;7.0
extensions;17;1;-;0;17;17;17.0
finder_filters;1;1;1;0;14;14;14.0
finder_links;1;1;1;0;19;19;19.0
finder_links_terms0;1;1;1;0;3;3;3.0
finder_links_terms1;1;1;1;0;3;3;3.0
finder_links_terms2;1;1;1;0;3;3;3.0
finder_links_terms3;1;1;1;0;3;3;3.0
finder_links_terms4;1;1;1;0;3;3;3.0
finder_links_terms5;1;1;1;0;3;3;3.0
finder_links_terms6;1;1;1;0;3;3;3.0
finder_links_terms7;1;1;1;0;3;3;3.0
finder_links_terms8;1;1;1;0;3;3;3.0
finder_links_terms9;1;1;1;0;3;3;3.0
finder_links_termsa;1;1;1;0;3;3;3.0
finder_links_termsb;1;1;1;0;3;3;3.0
finder_links_termsc;1;1;1;0;3;3;3.0
finder_links_termsd;1;1;1;0;3;3;3.0
finder_links_termse;1;1;1;0;3;3;3.0
finder_links_termsf;1;1;1;0;3;3;3.0
finder_taxonomy;1;1;1;0;6;6;6.0
finder_taxonomy_map;1;1;1;0;2;2;2.0
finder_terms;1;1;1;0;9;9;9.0
finder_terms_common;1;1;1;0;2;2;2.0
finder_tokens;1;1;1;0;7;7;7.0
finder_tokens_aggregate;1;1;1;0;11;11;11.0
finder_types;1;1;1;0;3;3;3.0
langauges_associations;1;12;12;0;4;4;4.0
languages;17;1;-;2;13;15;13.3529415
languages_associations;5;13;-;0;4;4;4.0
menu;17;1;-;4;26;26;25.941177
menu_types;17;1;-;1;4;5;4.1764708
migrations;2;14;-;0;3;3;3.0
modules;17;1;-;0;19;19;19.0
modules_menu;17;1;-;0;2;2;2.0
schemas;17;1;-;0;2;2;2.0
session;7;1;7;0;7;7;7.0
tags;2;1;2;0;32;32;32.0
template_styles;9;1;9;0;6;6;6.0
templates;8;10;-;0;6;6;6.0
ucm_base;5;1;5;0;4;4;4.0
ucm_content;5;1;5;0;34;34;34.0
ucm_history;4;1;4;0;11;11;11.0
user_keys;7;1;7;0;7;7;7.0
user_profiles;7;1;7;0;4;4;4.0
user_usergroup_map;7;1;7;0;3;3;3.0
usergroups;7;1;7;0;6;6;6.0
users;17;1;-;1;15;15;15.0
users_groups;10;8;-;0;6;6;6.0
users_groups_users;10;8;-;0;3;3;3.0
users_keys;10;8;-;2;7;7;7.0
users_profiles;10;8;-;0;4;4;4.0
users_roles;10;8;-;0;5;5;5.0
users_session;3;8;10;0;7;7;7.0
users_sessions;7;11;-;1;7;7;7.0
viewlevels;7;1;7;0;5;5;5.0
