trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1433104947.sql;1433106241.sql;#__assets;Deletion:DeleteTable;COMMENT;'JSON ENCODED ACCESS CONTROL.';false;0;-
1;1433104947.sql;1433106241.sql;#__assets;Deletion:DeleteTable;id;INT(10);false;0;-
1;1433104947.sql;1433106241.sql;#__assets;Deletion:DeleteTable;level;INT(10);false;0;-
1;1433104947.sql;1433106241.sql;#__assets;Deletion:DeleteTable;lft;INT(11);false;0;-
1;1433104947.sql;1433106241.sql;#__assets;Deletion:DeleteTable;name;VARCHAR(50);false;0;-
1;1433104947.sql;1433106241.sql;#__assets;Deletion:DeleteTable;parent_id;INT(11);false;0;-
1;1433104947.sql;1433106241.sql;#__assets;Deletion:DeleteTable;rgt;INT(11);false;0;-
1;1433104947.sql;1433106241.sql;#__assets;Deletion:DeleteTable;rules;VARCHAR(5120);false;0;-
1;1433104947.sql;1433106241.sql;#__assets;Deletion:DeleteTable;title;VARCHAR(100);false;0;-
1;1433104947.sql;1433106241.sql;#__associations;Deletion:DeleteTable;COMMENT;'THE KEY FOR THE ASSOCIATION COMPUTED FROM AN MD5 ON ASSOCIATED IDS.';false;0;-
1;1433104947.sql;1433106241.sql;#__associations;Deletion:DeleteTable;context;VARCHAR(50);false;0;-
1;1433104947.sql;1433106241.sql;#__associations;Deletion:DeleteTable;id;INT(11);false;0;-
1;1433104947.sql;1433106241.sql;#__associations;Deletion:DeleteTable;key;CHAR(32);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;COLLATE;UTF8_BIN;false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;COMMENT;'JSON ENCODED METADATA PROPERTIES.';false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;access;INT(10);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;alias;VARCHAR(255);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;asset_id;INT(10);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;checked_out;INT(11);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;checked_out_time;DATETIME;false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;created_time;DATETIME;false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;created_user_id;INT(10);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;description;MEDIUMTEXT;false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;extension;VARCHAR(50);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;hits;INT(10);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;id;INT(11);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;language;CHAR(7);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;level;INT(10);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;lft;INT(11);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;metadata;VARCHAR(2048);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;metadesc;VARCHAR(1024);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;metakey;VARCHAR(1024);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;modified_time;DATETIME;false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;modified_user_id;INT(10);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;note;VARCHAR(255);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;params;TEXT;false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;parent_id;INT(10);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;path;VARCHAR(255);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;published;TINYINT(1);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;rgt;INT(11);false;0;-
1;1433104947.sql;1433106241.sql;#__categories;Deletion:DeleteTable;title;VARCHAR(255);false;0;-
