trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1441118783		1441118783.sql	2015-09-01 14:46:23	0	0	0		2		18	2	0	18	0	0	0	0	0			18	0	0	18	0	18	
1	1442158141	1441118783.sql	1442158141.sql	2015-09-13 15:29:01	12	1	1	2	8	18	62	6	0	44	0	0	0	0	0	6	44	44	0	0	44	0	44	
2	1442159844	1442158141.sql	1442159844.sql	2015-09-13 15:57:24	12	1	1	8	8	62	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1442465560	1442159844.sql	1442465560.sql	2015-09-17 04:52:40	15	1	1	8	8	62	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	1443323740	1442465560.sql	1443323740.sql	2015-09-27 03:15:40	25	1	1	8	11	62	89	3	0	27	0	0	0	0	0	3	27	27	0	0	27	0	27	
5	1443567790	1443323740.sql	1443567790.sql	2015-09-29 23:03:10	28	1	1	11	12	89	93	1	0	4	0	0	0	0	0	1	4	4	0	0	4	0	4	
6	1443845684	1443567790.sql	1443845684.sql	2015-10-03 04:14:44	31	1	2	12	12	93	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	1444269934	1443845684.sql	1444269934.sql	2015-10-08 02:05:34	36	1	2	12	12	93	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	1444277332	1444269934.sql	1444277332.sql	2015-10-08 04:08:52	36	1	2	12	12	93	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	1444919240	1444277332.sql	1444919240.sql	2015-10-15 14:27:20	43	1	2	12	13	93	103	1	0	10	0	0	0	1	0	1	10	10	0	1	10	1	11	
