;0;1;2;3;4;5;6;7;8;9;
ltv_app;-;-;-;-;0;0;0;0;0;0;
ltv_flight;-;-;-;-;0;0;0;0;0;0;
ltv_flight_group;-;-;-;-;0;0;0;0;0;0;
pmp_ad_category;-;-;-;-;-;0;0;0;0;0;
pmp_advertiser;-;0;0;0;0;0;0;0;0;0;
pmp_app_info;0;0;0;0;0;0;0;0;0;0;
pmp_campaign;-;0;0;0;0;0;0;0;0;1;
pmp_campaign_creative;0;0;0;0;0;0;0;0;0;0;
pmp_campaign_daily_config;-;0;0;0;0;0;0;0;0;0;
pmp_campaign_daily_report;-;-;-;-;-;-;-;-;-;0;
pmp_campaign_group;-;0;0;0;0;0;0;0;0;0;
pmp_campaign_targeting;-;0;0;0;0;0;0;0;0;0;
pmp_lov;-;0;0;0;0;0;0;0;0;0;
