Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
ltv_app	6	4	-	9	2015-09-27 03:15:40	2015-10-15 14:27:20	1	1	18	5	5	5	1	0	0	0	0		20	0	20
ltv_flight	6	4	-	9	2015-09-27 03:15:40	2015-10-15 14:27:20	1	1	18	19	19	19	1	0	0	0	0		20	0	20
ltv_flight_group	6	4	-	9	2015-09-27 03:15:40	2015-10-15 14:27:20	1	1	18	3	3	3	1	0	0	0	0		20	0	20
pmp_ad_category	5	5	-	9	2015-09-29 23:03:10	2015-10-15 14:27:20	1	1	15	4	4	4	1	0	0	0	0		20	0	20
pmp_advertiser	9	1	-	9	2015-09-13 15:29:01	2015-10-15 14:27:20	1	1	31	7	7	7	1	0	0	0	0		20	0	20
pmp_app_info	10	0	-	9	2015-09-01 14:46:23	2015-10-15 14:27:20	0	1	43	5	5	5	1	0	0	0	0		20	0	20
pmp_campaign	9	1	-	9	2015-09-13 15:29:01	2015-10-15 14:27:20	1	1	31	20	20	20	1	1	1	0.11	0.11	1	20	1	21
pmp_campaign_creative	10	0	-	9	2015-09-01 14:46:23	2015-10-15 14:27:20	0	1	43	13	13	13	1	0	0	0	0		20	0	20
pmp_campaign_daily_config	9	1	-	9	2015-09-13 15:29:01	2015-10-15 14:27:20	1	1	31	4	4	4	1	0	0	0	0		20	0	20
pmp_campaign_daily_report	1	9	-	9	2015-10-15 14:27:20	2015-10-15 14:27:20	1	1	0	10	10	10	1	0	0	0	0		20	0	20
pmp_campaign_group	9	1	-	9	2015-09-13 15:29:01	2015-10-15 14:27:20	1	1	31	4	4	4	1	0	0	0	0		20	0	20
pmp_campaign_targeting	9	1	-	9	2015-09-13 15:29:01	2015-10-15 14:27:20	1	1	31	4	4	4	1	0	0	0	0		20	0	20
pmp_lov	9	1	-	9	2015-09-13 15:29:01	2015-10-15 14:27:20	1	1	31	5	5	5	1	0	0	0	0		20	0	20
