trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1441118783.sql;1442158141.sql;pmp_advertiser;Insertion:NewTable;COMMENT;'0: 广告主；1：代理商';false;0;-
1;1441118783.sql;1442158141.sql;pmp_advertiser;Insertion:NewTable;advertiser_type;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_advertiser;Insertion:NewTable;category_key;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_advertiser;Insertion:NewTable;del_flg;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_advertiser;Insertion:NewTable;description;VARCHAR(500);false;0;-
1;1441118783.sql;1442158141.sql;pmp_advertiser;Insertion:NewTable;id;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_advertiser;Insertion:NewTable;name;VARCHAR(50);false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;COLLATE;'UTF8_UNICODE_CI';false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;COMMENT;'0:CPC,1:CPM,2:RD';false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;accurate_type;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;ad_type;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;bid_price;FLOAT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;budget;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;budget_type;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;campaign_status;INT(11);false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;campaign_type;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;clk_tracking_url;VARCHAR(1000);false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;demand_adspace_id;INT(11);false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;end_date;DATE;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;group_id;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;id;INT(11);false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;imp_tracking_url;VARCHAR(1000);false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;landing_url;VARCHAR(1000);false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;name;VARCHAR(45);false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;pricing_type;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;start_date;DATE;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign;Insertion:NewTable;strategy_type;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_daily_config;Insertion:NewTable;campaign_id;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_daily_config;Insertion:NewTable;id;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_daily_config;Insertion:NewTable;target_hours;VARCHAR(100);false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_daily_config;Insertion:NewTable;week_day;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_group;Insertion:NewTable;advertiser_Id;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_group;Insertion:NewTable;budget;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_group;Insertion:NewTable;id;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_group;Insertion:NewTable;name;VARCHAR(50);false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_targeting;Insertion:NewTable;campaign_id;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_targeting;Insertion:NewTable;id;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_targeting;Insertion:NewTable;targeting_id;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_campaign_targeting;Insertion:NewTable;targeting_type;VARCHAR(45);false;0;-
1;1441118783.sql;1442158141.sql;pmp_lov;Insertion:NewTable;disp_order;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_lov;Insertion:NewTable;id;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_lov;Insertion:NewTable;lov_code;VARCHAR(45);false;0;-
1;1441118783.sql;1442158141.sql;pmp_lov;Insertion:NewTable;lov_key;INT;false;0;-
1;1441118783.sql;1442158141.sql;pmp_lov;Insertion:NewTable;lov_value;VARCHAR(45);false;0;-
2;1442158141.sql;1442159844.sql;-;-;-;-;-;-;-
3;1442159844.sql;1442465560.sql;-;-;-;-;-;-;-
4;1442465560.sql;1443323740.sql;ltv_app;Insertion:NewTable;app_key;VARCHAR(45);false;0;-
4;1442465560.sql;1443323740.sql;ltv_app;Insertion:NewTable;id;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_app;Insertion:NewTable;name;VARCHAR(45);false;0;-
4;1442465560.sql;1443323740.sql;ltv_app;Insertion:NewTable;pkgname;VARCHAR(100);false;0;-
4;1442465560.sql;1443323740.sql;ltv_app;Insertion:NewTable;security_key;VARCHAR(45);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;budget;FLOAT;false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;clk;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;conversion;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;cost;FLOAT;false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;del_flg;TINYINT(4);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;eCPA;FLOAT;false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;group_id;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;id;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;imp;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;install;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;ltv_app_id;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;name;VARCHAR(45);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;postback_install;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;register;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;revenue;FLOAT;false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;spending;FLOAT;false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;spread_name;VARCHAR(45);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;spread_url;VARCHAR(500);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight;Insertion:NewTable;submit;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight_group;Insertion:NewTable;budget;FLOAT;false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight_group;Insertion:NewTable;id;INT(11);false;0;-
4;1442465560.sql;1443323740.sql;ltv_flight_group;Insertion:NewTable;name;VARCHAR(45);false;0;-
5;1443323740.sql;1443567790.sql;pmp_ad_category;Insertion:NewTable;COLLATE;UTF8_UNICODE_CI;false;0;-
5;1443323740.sql;1443567790.sql;pmp_ad_category;Insertion:NewTable;id;INT(11);false;0;-
5;1443323740.sql;1443567790.sql;pmp_ad_category;Insertion:NewTable;name;VARCHAR(45);false;0;-
5;1443323740.sql;1443567790.sql;pmp_ad_category;Insertion:NewTable;parent_id;INT(11);false;0;-
6;1443567790.sql;1443845684.sql;-;-;-;-;-;-;-
7;1443845684.sql;1444269934.sql;-;-;-;-;-;-;-
8;1444269934.sql;1444277332.sql;-;-;-;-;-;-;-
9;1444277332.sql;1444919240.sql;pmp_campaign;Update:TypeChange;landing_url;VARCHAR(500);false;0;-
9;1444277332.sql;1444919240.sql;pmp_campaign_daily_report;Insertion:NewTable;ad_date;DATE;false;0;-
9;1444277332.sql;1444919240.sql;pmp_campaign_daily_report;Insertion:NewTable;campaign_id;INT(11);false;0;-
9;1444277332.sql;1444919240.sql;pmp_campaign_daily_report;Insertion:NewTable;clk;INT(11);false;0;-
9;1444277332.sql;1444919240.sql;pmp_campaign_daily_report;Insertion:NewTable;cost;FLOAT;false;0;-
9;1444277332.sql;1444919240.sql;pmp_campaign_daily_report;Insertion:NewTable;ctr;FLOAT;false;0;-
9;1444277332.sql;1444919240.sql;pmp_campaign_daily_report;Insertion:NewTable;ecpc;FLOAT;false;0;-
9;1444277332.sql;1444919240.sql;pmp_campaign_daily_report;Insertion:NewTable;ecpm;FLOAT;false;0;-
9;1444277332.sql;1444919240.sql;pmp_campaign_daily_report;Insertion:NewTable;id;INT(11);false;0;-
9;1444277332.sql;1444919240.sql;pmp_campaign_daily_report;Insertion:NewTable;imp;INT(11);false;0;-
9;1444277332.sql;1444919240.sql;pmp_campaign_daily_report;Insertion:NewTable;spending;FLOAT;false;0;-
