Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
ability_upgrades	15	0	-	14	2013-09-25 14:20:26	2016-06-30 09:18:52	0	3	1008	4	4	4	1	3	1	0.2	0.07	3	20	1	21
additional_units	15	0	-	14	2013-09-25 14:20:26	2016-06-30 09:18:52	0	3	1008	8	8	8	1	7	1	0.47	0.07	7	20	2	22
broadcasters	2	13	-	14	2016-06-27 15:45:52	2016-06-30 09:18:52	3	3	2	3	3	3	1	0	0	0	0		20	0	20
items	11	4	-	14	2014-07-04 21:34:56	2016-06-30 09:18:52	1	3	726	7	7	7	1	0	0	0	0		20	0	20
league_prize_pools	12	3	-	14	2014-06-14 17:34:26	2016-06-30 09:18:52	1	3	746	3	3	3	1	0	0	0	0		20	0	20
leagues	13	2	-	14	2014-06-13 18:49:22	2016-06-30 09:18:52	1	3	747	6	7	6.08	1.17	3	3	0.23	0.23	1	20	1	21
live_matches	2	13	-	14	2016-06-27 15:45:52	2016-06-30 09:18:52	3	3	2	37	37	37	1	0	0	0	0		20	0	20
live_slots	2	13	-	14	2016-06-27 15:45:52	2016-06-30 09:18:52	3	3	2	27	27	27	1	0	0	0	0		20	0	20
matches	15	0	-	14	2013-09-25 14:20:26	2016-06-30 09:18:52	0	3	1008	28	34	28.53	1.21	15	3	1	0.2	5	20	2	22
picks_bans	15	0	-	14	2013-09-25 14:20:26	2016-06-30 09:18:52	0	3	1008	6	6	6	1	5	2	0.33	0.13	2.5	20	1	21
slots	15	0	-	14	2013-09-25 14:20:26	2016-06-30 09:18:52	0	3	1008	25	25	25	1	25	2	1.67	0.13	12.5	20	2	22
teams	10	5	-	14	2014-07-27 20:20:58	2016-06-30 09:18:52	1	3	703	2	2	2	1	0	0	0	0		20	0	20
users	15	0	-	14	2013-09-25 14:20:26	2016-06-30 09:18:52	0	3	1008	3	6	5.6	2	6	2	0.4	0.13	3	20	2	22
