mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2013-09	1	6	74	6	0	74	0	0	0	0	0	0	0	74	0	0	74	0	74
1	2013-10	1	6	74	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2
2	2013-11	0	6	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2013-12	0	6	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2014-01	0	6	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2014-02	0	6	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2014-03	0	6	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2014-04	0	6	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2014-05	0	6	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2014-06	2	8	84	2	0	9	0	3	2	45	0	2	10	12	2	45	12	47	59
10	2014-07	2	10	94	2	0	9	0	1	0	0	0	2	10	10	0	0	10	0	10
11	2014-08	1	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2014-09	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2014-10	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2014-11	1	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2014-12	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2015-01	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2015-02	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2015-03	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2015-04	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2015-05	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2015-06	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	2015-07	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2015-08	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2015-09	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2015-10	1	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2015-11	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2015-12	2	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	2016-01	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	2016-02	1	10	94	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	3
30	2016-03	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	2016-04	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	2016-05	0	10	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2016-06	3	13	169	3	0	67	0	8	0	0	0	3	75	75	0	0	75	0	75
