trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1389693551.sql;1390053019.sql;txlog;Insertion:NewTable;address;CHARACTERVARYING(50);false;0;-
1;1389693551.sql;1390053019.sql;txlog;Insertion:NewTable;errorMessage;CHARACTERVARYING;false;0;-
1;1389693551.sql;1390053019.sql;txlog;Insertion:NewTable;exchange;CHARACTERVARYING(50);false;0;-
1;1389693551.sql;1390053019.sql;txlog;Insertion:NewTable;id;INTEGER;false;0;-
1;1389693551.sql;1390053019.sql;txlog;Insertion:NewTable;satoshis;INTEGER;false;0;-
1;1389693551.sql;1390053019.sql;txlog;Insertion:NewTable;status;INTEGER;false;0;-
1;1389693551.sql;1390053019.sql;txlog;Insertion:NewTable;timestamp;TIMESTAMP;false;0;-
2;1390053019.sql;1390162770.sql;txlog;Insertion:UpdateTable;currency;CHARACTERVARYING(10);false;0;-
2;1390053019.sql;1390162770.sql;txlog;Insertion:UpdateTable;rate;INTEGER;false;0;-
2;1390053019.sql;1390162770.sql;txlog;Insertion:UpdateTable;type;CHARACTERVARYING(10);false;0;-
2;1390053019.sql;1390162770.sql;txlog;Update:TypeChange;id;SERIAL;false;0;-
3;1390162770.sql;1390233177.sql;txlog;Update:TypeChange;rate;FLOAT;false;0;-
3;1390162770.sql;1390233177.sql;txlog;Update:TypeChange;status;CHARACTERVARYING(20);false;0;-
4;1390233177.sql;1391621748.sql;-;-;-;-;-;-;-
5;1391621748.sql;1394838950.sql;devices;Insertion:NewTable;fingerprint;CHARACTERVARYING(59);false;0;-
5;1391621748.sql;1394838950.sql;devices;Insertion:NewTable;id;SERIAL;false;0;-
5;1391621748.sql;1394838950.sql;devices;Insertion:NewTable;name;CHARACTERVARYING;false;0;-
6;1394838950.sql;1395078147.sql;devices;Insertion:UpdateTable;confirmed;BOOLEAN;false;0;-
7;1395078147.sql;1395098071.sql;devices;Insertion:UpdateTable;authorized;BOOLEAN;false;0;-
