trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1395862334		1395862334.sql	2014-03-26 19:32:14	0	0	0		5		26	5	0	26	0	0	0	0	0			26	0	0	26	0	26	
1	1395998467	1395862334.sql	1395998467.sql	2014-03-28 09:21:07	1	1	1	5	5	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	1396478078	1395998467.sql	1396478078.sql	2014-04-02 22:34:38	7	1	1	5	5	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1396478743	1396478078.sql	1396478743.sql	2014-04-02 22:45:43	7	1	1	5	5	26	25	0	0	0	0	1	2	0	0	0	-1	1	2	0	1	2	3	
4	1396479243	1396478743.sql	1396479243.sql	2014-04-02 22:54:03	7	1	1	5	5	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1396556664	1396479243.sql	1396556664.sql	2014-04-03 20:24:24	8	1	1	5	5	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1396567305	1396556664.sql	1396567305.sql	2014-04-03 23:21:45	8	1	1	5	5	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	1396758465	1396567305.sql	1396758465.sql	2014-04-06 04:27:45	10	1	1	5	5	25	26	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
8	1397658735	1396758465.sql	1397658735.sql	2014-04-16 14:32:15	20	1	1	5	5	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	1397659795	1397658735.sql	1397659795.sql	2014-04-16 14:49:55	20	1	1	5	5	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	1398076875	1397659795.sql	1398076875.sql	2014-04-21 10:41:15	25	1	1	5	5	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	1398076877	1398076875.sql	1398076877.sql	2014-04-21 10:41:17	25	1	1	5	5	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	1398261430	1398076877.sql	1398261430.sql	2014-04-23 13:57:10	27	1	1	5	5	26	26	0	0	0	0	4	4	0	0	0	0	4	4	0	4	4	8	
13	1407252300	1398261430.sql	1407252300.sql	2014-08-05 15:25:00	131	1	5	5	5	26	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	1410125267	1407252300.sql	1410125267.sql	2014-09-07 21:27:47	165	1	6	5	7	26	41	2	0	15	0	0	0	0	0	2	15	15	0	0	15	0	15	
15	1461079911	1410125267.sql	1461079911.sql	2016-04-19 15:31:51	754	3	25	7	7	41	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
