trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1395998467;1395862334.sql;1395998467.sql;5;5;26;26;0;0;0;0;0;0;0;0
2;1396478078;1395998467.sql;1396478078.sql;5;5;26;26;0;0;0;0;0;0;0;0
3;1396478743;1396478078.sql;1396478743.sql;5;5;26;25;0;0;1;2;0;0;0;0
4;1396479243;1396478743.sql;1396479243.sql;5;5;25;25;0;0;0;0;0;0;0;0
5;1396556664;1396479243.sql;1396556664.sql;5;5;25;25;0;0;0;0;0;0;0;0
6;1396567305;1396556664.sql;1396567305.sql;5;5;25;25;0;0;0;0;0;0;0;0
7;1396758465;1396567305.sql;1396758465.sql;5;5;25;26;0;0;1;0;0;0;0;0
8;1397658735;1396758465.sql;1397658735.sql;5;5;26;26;0;0;0;0;0;0;0;0
9;1397659795;1397658735.sql;1397659795.sql;5;5;26;26;0;0;0;0;0;0;0;0
10;1398076875;1397659795.sql;1398076875.sql;5;5;26;26;0;0;0;0;0;0;0;0
11;1398076877;1398076875.sql;1398076877.sql;5;5;26;26;0;0;0;0;0;0;0;0
12;1398261430;1398076877.sql;1398261430.sql;5;5;26;26;0;0;4;4;0;0;0;0
13;1407252300;1398261430.sql;1407252300.sql;5;5;26;26;0;0;0;0;0;0;0;0
14;1410125267;1407252300.sql;1410125267.sql;5;7;26;41;2;0;0;0;0;0;15;0
15;1461079911;1410125267.sql;1461079911.sql;7;7;41;41;0;0;0;0;0;0;0;0
