;0;1;2;3;4;5;6;
apps;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];8[2|0|0|0];8[0|0|0|0];8[0|0|0|0];9[1|0|0|0];
collaborators;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
deployments;10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];
deployments_history;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
deployments_versions;6[0|0|0|0];6[0|0|0|0];7[1|0|0|0];7[0|0|0|0];9[2|0|1|0];9[0|0|0|0];9[0|0|0|0];
log_report_deploy;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
log_report_download;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
packages;16[0|0|0|0];16[0|0|0|0];17[1|0|0|0];19[2|0|0|0];19[0|0|0|0];19[0|0|0|0];19[0|0|0|0];
packages_diff;7[0|0|0|0];7[0|0|0|0];8[1|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];
packages_metrics;8[0|0|0|0];8[0|0|0|0];9[1|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];
user_tokens;10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];
users;8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];
versions;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
