trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1450344318;1449659873.sql;1450344318.sql;6;6;31;31;0;0;0;0;0;0;0;0
2;1480419915;1450344318.sql;1480419915.sql;6;6;31;31;0;0;0;0;0;0;0;0
3;1480424638;1480419915.sql;1480424638.sql;6;6;31;32;0;0;1;0;0;0;0;0
4;1480486109;1480424638.sql;1480486109.sql;6;5;32;33;0;1;4;0;0;0;0;3
5;1480575875;1480486109.sql;1480575875.sql;5;5;33;34;0;0;1;0;0;0;0;0
6;1484568952;1480575875.sql;1484568952.sql;5;5;34;37;0;0;3;0;0;0;0;0
7;1485942718;1484568952.sql;1485942718.sql;5;6;37;47;1;0;0;0;0;0;10;0
8;1485946722;1485942718.sql;1485946722.sql;6;6;47;47;0;0;0;0;1;0;0;0
9;1485948246;1485946722.sql;1485948246.sql;6;6;47;47;0;0;0;0;0;0;0;0
10;1486114771;1485948246.sql;1486114771.sql;6;6;47;47;0;0;0;0;1;0;0;0
11;1491564335;1486114771.sql;1491564335.sql;6;6;47;47;0;0;0;0;1;0;0;0
12;1501758503;1491564335.sql;1501758503.sql;6;6;47;56;0;0;9;0;0;0;0;0
