mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2015-12	2	1	4	1	0	4	0	0	0	0	0	0	0	4	0	0	4	0	4
1	2016-01	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2016-02	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2016-03	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2016-04	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2016-05	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2016-06	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2016-07	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2016-08	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2016-09	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2016-10	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2016-11	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2016-12	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2017-01	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2017-02	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2017-03	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2017-04	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
