;0;1;2;3;
auth_group;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
auth_group_permissions;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
auth_message;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
auth_permission;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
auth_user;11[0|0|0|0];11[0|0|0|0];11[0|0|0|0];11[0|0|0|0];
auth_user_groups;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
auth_user_user_permissions;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
django_admin_log;8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];
django_content_type;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
django_session;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
geoip_country_to_region;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
geoip_ip_to_country;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
geoip_mirror_region_map;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
geoip_regions;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
mirror_aliases;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
mirror_lmm_lang_exceptions;3[0|0|0|0];3[0|0|1|0];3[0|0|0|0];3[0|0|0|0];
mirror_location_mirror_map;5[0|0|0|0];5[0|0|1|0];5[0|0|0|0];5[0|0|0|0];
mirror_locations;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
mirror_log;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
mirror_mirrors;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
mirror_mirrors_contacts;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
mirror_os;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
mirror_product_langs;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
mirror_products;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
mirror_sessions;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
mirror_users;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
sentry_log;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
south_migrationhistory;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
users_userprofile;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
