;0;1;2;3;
auth_group;2;2;2;2;
auth_group_permissions;3;3;3;3;
auth_message;3;3;3;3;
auth_permission;4;4;4;4;
auth_user;11;11;11;11;
auth_user_groups;3;3;3;3;
auth_user_user_permissions;3;3;3;3;
django_admin_log;8;8;8;8;
django_content_type;4;4;4;4;
django_session;3;3;3;3;
geoip_country_to_region;4;4;4;4;
geoip_ip_to_country;4;4;4;4;
geoip_mirror_region_map;3;3;3;3;
geoip_regions;6;6;6;6;
mirror_aliases;3;3;3;3;
mirror_lmm_lang_exceptions;3;3;3;3;
mirror_location_mirror_map;5;5;5;5;
mirror_locations;4;4;4;4;
mirror_log;4;4;4;4;
mirror_mirrors;6;6;6;6;
mirror_mirrors_contacts;3;3;3;3;
mirror_os;3;3;3;3;
mirror_product_langs;3;3;3;3;
mirror_products;7;7;7;7;
mirror_sessions;2;2;2;2;
mirror_users;7;7;7;7;
sentry_log;6;6;6;6;
south_migrationhistory;4;4;4;4;
users_userprofile;6;6;6;6;
