;0;1;
api_key;10[0|0|0|0];10[0|0|0|0];
blue_shard_0;18[0|0|0|0];18[0|0|0|0];
blue_shard_1;18[0|0|0|0];18[0|0|0|0];
blue_shard_2;18[0|0|0|0];18[0|0|0|0];
blue_shard_3;18[0|0|0|0];18[0|0|0|0];
blue_shard_4;18[0|0|0|0];18[0|0|0|0];
blue_shard_5;18[0|0|0|0];18[0|0|0|0];
blue_shard_6;18[0|0|0|0];18[0|0|0|0];
blue_shard_7;18[0|0|0|0];18[0|0|0|0];
blue_shard_8;18[0|0|0|0];18[0|0|0|0];
blue_shard_9;18[0|0|0|0];18[0|0|0|0];
blue_shard_a;18[0|0|0|0];18[0|0|0|0];
blue_shard_b;18[0|0|0|0];18[0|0|0|0];
blue_shard_c;18[0|0|0|0];18[0|0|0|0];
blue_shard_d;18[0|0|0|0];18[0|0|0|0];
blue_shard_e;18[0|0|0|0];18[0|0|0|0];
blue_shard_f;18[0|0|0|0];18[0|0|0|0];
cell_area;14[0|0|0|0];14[0|0|0|0];
cell_area_ocid;14[0|0|0|0];14[0|0|0|0];
cell_gsm;24[0|0|0|0];24[0|0|0|0];
cell_gsm_ocid;24[0|0|0|0];24[0|0|0|0];
cell_lte;24[0|0|0|0];24[0|0|0|0];
cell_lte_ocid;24[0|0|0|0];24[0|0|0|0];
cell_wcdma;24[0|0|0|0];24[0|0|0|0];
cell_wcdma_ocid;24[0|0|0|0];24[0|0|0|0];
datamap_ne;3[0|0|0|0];3[0|0|0|0];
datamap_nw;3[0|0|0|0];3[0|0|0|0];
datamap_se;3[0|0|0|0];3[0|0|0|0];
datamap_sw;3[0|0|0|0];3[0|0|0|0];
export_config;5[0|0|0|0];5[0|0|0|0];
region_stat;6[0|0|0|0];6[0|0|0|0];
stat;3[0|0|0|0];3[0|0|0|0];
wifi_shard_0;18[0|0|0|0];18[0|0|0|0];
wifi_shard_1;18[0|0|0|0];18[0|0|0|0];
wifi_shard_2;18[0|0|0|0];18[0|0|0|0];
wifi_shard_3;18[0|0|0|0];18[0|0|0|0];
wifi_shard_4;18[0|0|0|0];18[0|0|0|0];
wifi_shard_5;18[0|0|0|0];18[0|0|0|0];
wifi_shard_6;18[0|0|0|0];18[0|0|0|0];
wifi_shard_7;18[0|0|0|0];18[0|0|0|0];
wifi_shard_8;18[0|0|0|0];18[0|0|0|0];
wifi_shard_9;18[0|0|0|0];18[0|0|0|0];
wifi_shard_a;18[0|0|0|0];18[0|0|0|0];
wifi_shard_b;18[0|0|0|0];18[0|0|0|0];
wifi_shard_c;18[0|0|0|0];18[0|0|0|0];
wifi_shard_d;18[0|0|0|0];18[0|0|0|0];
wifi_shard_e;18[0|0|0|0];18[0|0|0|0];
wifi_shard_f;18[0|0|0|0];18[0|0|0|0];
