table;dur;birth;death;chngs;s@s;s@e;sAvg
rocket_content_item;7;0;-;0;3;3;3.0
rocket_critmod_save;6;1;-;3;6;5;5.6666665
rocket_custom_grant;6;1;-;1;5;5;5.0
rocket_ei_grant;6;1;-;5;5;5;5.0
rocket_ei_grant_privileges;2;5;-;0;5;5;5.0
rocket_filter;1;0;0;0;5;5;5.0
rocket_login;7;0;-;5;7;7;7.0
rocket_translation_rocket_content_item;1;0;0;0;3;3;3.0
rocket_user;7;0;-;7;7;7;7.0
rocket_user_access_grant;7;0;-;0;7;7;7.0
rocket_user_group;7;0;-;1;2;3;2.857143
rocket_user_privileges_grant;5;0;4;7;5;6;5.8
rocket_user_rocket_user_groups;6;1;-;0;2;2;2.0
rocket_user_script_grant;1;0;0;0;5;5;5.0
rocket_user_user_groups;1;0;0;0;2;2;2.0
