trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1471555374.sql;1471559363.sql;rocket_critmod_save;Insertion:NewTable;ei_mask_id;VARCHAR(255);false;0;-
1;1471555374.sql;1471559363.sql;rocket_critmod_save;Insertion:NewTable;ei_spec_id;VARCHAR(255);false;0;-
1;1471555374.sql;1471559363.sql;rocket_critmod_save;Insertion:NewTable;filter_data_json;TEXT;false;0;-
1;1471555374.sql;1471559363.sql;rocket_critmod_save;Insertion:NewTable;id;INT(10);false;0;-
1;1471555374.sql;1471559363.sql;rocket_critmod_save;Insertion:NewTable;name;VARCHAR(255);false;0;-
1;1471555374.sql;1471559363.sql;rocket_critmod_save;Insertion:NewTable;sort_data_json;TEXT;false;0;-
1;1471555374.sql;1471559363.sql;rocket_custom_grant;Insertion:NewTable;access_json;TEXT;false;0;-
1;1471555374.sql;1471559363.sql;rocket_custom_grant;Insertion:NewTable;custom_spec_id;VARCHAR(255);false;0;-
1;1471555374.sql;1471559363.sql;rocket_custom_grant;Insertion:NewTable;full;TINYINT(1);false;0;-
1;1471555374.sql;1471559363.sql;rocket_custom_grant;Insertion:NewTable;id;INT(10);false;0;-
1;1471555374.sql;1471559363.sql;rocket_custom_grant;Insertion:NewTable;rocket_user_group_id;INT(10);false;0;-
1;1471555374.sql;1471559363.sql;rocket_ei_grant;Insertion:NewTable;ei_mask_id;VARCHAR(255);false;0;-
1;1471555374.sql;1471559363.sql;rocket_ei_grant;Insertion:NewTable;ei_spec_id;VARCHAR(255);false;0;-
1;1471555374.sql;1471559363.sql;rocket_ei_grant;Insertion:NewTable;full;TINYINT(1);false;0;-
1;1471555374.sql;1471559363.sql;rocket_ei_grant;Insertion:NewTable;id;INT(10);false;0;-
1;1471555374.sql;1471559363.sql;rocket_ei_grant;Insertion:NewTable;rocket_user_group_id;INT(10);false;0;-
1;1471555374.sql;1471559363.sql;rocket_filter;Deletion:DeleteTable;entity_script_id;VARCHAR(32);false;0;-
1;1471555374.sql;1471559363.sql;rocket_filter;Deletion:DeleteTable;filter_data_json;TEXT;false;0;-
1;1471555374.sql;1471559363.sql;rocket_filter;Deletion:DeleteTable;id;INT(10);false;0;-
1;1471555374.sql;1471559363.sql;rocket_filter;Deletion:DeleteTable;name;VARCHAR(32);false;0;-
1;1471555374.sql;1471559363.sql;rocket_filter;Deletion:DeleteTable;sort_directions_json;TEXT;false;0;-
1;1471555374.sql;1471559363.sql;rocket_login;Insertion:UpdateTable;power;ENUM('SUPERADMIN','ADMIN','NONE');false;0;-
1;1471555374.sql;1471559363.sql;rocket_login;Deletion:UpdateTable;type;ENUM('SUPERADMIN','ADMIN');false;0;-
1;1471555374.sql;1471559363.sql;rocket_translation_rocket_content_item;Deletion:DeleteTable;element_id;INT(11);false;0;-
1;1471555374.sql;1471559363.sql;rocket_translation_rocket_content_item;Deletion:DeleteTable;id;INT(11);false;0;-
1;1471555374.sql;1471559363.sql;rocket_translation_rocket_content_item;Deletion:DeleteTable;locale;VARCHAR(5);false;0;-
1;1471555374.sql;1471559363.sql;rocket_user;Insertion:UpdateTable;power;ENUM('SUPERADMIN','ADMIN','NONE');false;0;-
1;1471555374.sql;1471559363.sql;rocket_user;Deletion:UpdateTable;type;ENUM('SUPERADMIN','ADMIN');false;0;-
1;1471555374.sql;1471559363.sql;rocket_user_group;Insertion:UpdateTable;nav_json;TEXT;false;0;-
