mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2015-08	7	7	26	7	0	23	0	4	1	10	0	3	13	27	1	10	27	11	38
1	2015-09	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2015-10	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2015-11	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2015-12	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2016-01	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2016-02	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2016-03	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2016-04	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2016-05	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2016-06	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2016-07	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2016-08	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2016-09	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2016-10	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2016-11	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2016-12	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2017-01	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2017-02	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2017-03	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2017-04	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2017-05	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	2017-06	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2017-07	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2017-08	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2017-09	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2017-10	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2017-11	0	7	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	2017-12	1	9	35	2	0	7	0	2	0	3	0	2	9	9	0	3	9	3	12
