table;dur;birth;death;chngs;s@s;s@e;sAvg
address;17;0;16;3;11;11;11.0
category;17;0;16;2;6;6;6.0
category_description;17;0;16;1;3;4;3.2941177
country;17;0;16;1;5;5;5.0
coupon;17;0;16;3;11;12;11.941176
coupon_description;17;0;16;0;4;4;4.0
coupon_product;16;1;16;0;3;3;3.0
coupon_redeem;15;0;14;0;5;5;5.0
currency;17;0;16;0;9;9;9.0
customer;17;0;16;0;13;13;13.0
download;17;0;16;0;5;5;5.0
download_description;17;0;16;0;3;3;3.0
extension;17;0;16;0;3;3;3.0
geo_zone;17;0;16;0;5;5;5.0
image;1;0;0;0;3;3;3.0
image_description;1;0;0;0;3;3;3.0
information;17;0;16;0;2;2;2.0
information_description;17;0;16;0;4;4;4.0
language;17;0;16;0;9;9;9.0
manufacturer;17;0;16;2;4;4;4.0
newsletter;1;0;0;0;5;5;5.0
oc2_setting;1;249;249;0;6;6;6.0
oc_address;494;17;-;7;11;12;11.963563
oc_affiliate;404;35;438;5;30;31;30.925743
oc_affiliate_activity;263;176;438;6;5;6;5.9923954
oc_affiliate_login;155;284;438;0;6;6;6.0
oc_affiliate_transaction;404;35;438;3;6;6;6.0
oc_api;296;220;-;23;6;6;6.293919
oc_api_ip;196;320;-;0;3;3;3.0
oc_api_session;195;321;-;13;8;6;7.266667
oc_attribute;481;35;-;0;3;3;3.0
oc_attribute_description;481;35;-;0;3;3;3.0
oc_attribute_group;481;35;-;0;2;2;2.0
oc_attribute_group_description;481;35;-;0;3;3;3.0
oc_banner;481;35;-;1;3;3;3.0
oc_banner_image;481;35;-;3;4;7;5.334719
oc_banner_image_description;343;35;377;0;4;4;4.0
oc_cart;179;337;-;4;9;9;8.620111
oc_category;494;17;-;15;7;9;8.975709
oc_category_description;494;17;-;6;5;7;6.688259
oc_category_filter;399;117;-;0;2;2;2.0
oc_category_path;425;91;-;2;3;3;3.0
oc_category_to_layout;481;35;-;0;3;3;3.0
oc_category_to_store;493;23;-;0;2;2;2.0
oc_country;494;17;-;5;5;7;6.9696355
oc_coupon;494;17;-;11;12;14;13.97166
oc_coupon_category;431;85;-;0;2;2;2.0
oc_coupon_description;13;17;34;0;4;4;4.0
oc_coupon_history;481;35;-;4;6;6;6.0
oc_coupon_product;494;17;-;0;3;3;3.0
oc_cron;20;496;-;5;8;7;7.2
oc_crowdin;28;420;448;2;5;4;4.035714
oc_currency;494;17;-;4;9;9;9.0
oc_custom_field;414;102;-;13;6;7;6.495169
oc_custom_field_customer_group;398;118;-;2;3;3;3.0653267
oc_custom_field_description;414;102;-;0;3;3;3.0
oc_custom_field_location;11;197;207;0;4;4;4.0
oc_custom_field_to_customer_group;69;102;170;0;2;2;2.0
