Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
address	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	11	11	11	1	3	1	0.18	0.06	3	10	1	11
category	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	6	6	6	1	2	1	0.12	0.06	2	10	1	11
category_description	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	3	4	3.29	1.33	1	1	0.06	0.06	1	10	1	11
country	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	5	5	5	1	1	1	0.06	0.06	1	10	1	11
coupon	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	11	12	11.94	1.09	3	1	0.18	0.06	3	10	1	11
coupon_description	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	4	4	4	1	0	0	0	0		10	0	10
coupon_product	16	1	16	16	2009-03-16 00:43:59	2009-05-07 21:03:34	1	1	52	3	3	3	1	0	0	0	0		10	0	10
coupon_redeem	15	0	14	14	2009-02-11 17:25:48	2009-04-09 00:02:12	0	1	56	5	5	5	1	0	0	0	0		10	0	10
currency	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	9	9	9	1	0	0	0	0		10	0	10
customer	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	13	13	13	1	0	0	0	0		10	0	10
download	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	5	5	5	1	0	0	0	0		10	0	10
download_description	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	3	3	3	1	0	0	0	0		10	0	10
extension	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	3	3	3	1	0	0	0	0		10	0	10
geo_zone	17	0	16	16	2009-02-11 17:25:48	2009-05-07 21:03:34	0	1	85	5	5	5	1	0	0	0	0		10	0	10
image	1	0	0	0	2009-02-11 17:25:48	2009-02-11 17:25:48	0	0	0	3	3	3	1	0	0	0	0		10	0	10
image_description	1	0	0	0	2009-02-11 17:25:48	2009-02-11 17:25:48	0	0	0	3	3	3	1	0	0	0	0		10	0	10
