trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1452898464;1452715185.sql;1452898464.sql;23;23;208;209;0;0;1;0;0;0;0;0
2;1453749527;1452898464.sql;1453749527.sql;23;24;209;216;1;0;2;0;0;0;5;0
3;1454622184;1453749527.sql;1454622184.sql;24;31;216;266;7;0;0;0;0;0;50;0
4;1454646845;1454622184.sql;1454646845.sql;31;26;266;228;0;5;0;0;0;0;0;38
5;1455065613;1454646845.sql;1455065613.sql;26;31;228;267;5;0;1;0;1;0;38;0
6;1455066635;1455065613.sql;1455066635.sql;31;31;267;267;0;0;1;1;2;0;0;0
7;1455067879;1455066635.sql;1455067879.sql;31;31;267;266;0;0;1;2;2;0;0;0
8;1455357651;1455067879.sql;1455357651.sql;31;31;266;267;0;0;1;0;1;0;0;0
9;1455651716;1455357651.sql;1455651716.sql;31;31;267;268;0;0;1;0;0;0;0;0
10;1456096347;1455651716.sql;1456096347.sql;31;32;268;272;1;0;0;1;2;0;5;0
11;1456944822;1456096347.sql;1456944822.sql;32;32;272;273;0;0;1;0;0;0;0;0
12;1457569181;1456944822.sql;1457569181.sql;32;31;273;267;0;1;1;1;3;0;0;6
13;1457645780;1457569181.sql;1457645780.sql;31;32;267;273;1;0;1;1;2;0;6;0
14;1457743132;1457645780.sql;1457743132.sql;32;32;273;274;0;0;1;0;0;0;0;0
15;1459361839;1457743132.sql;1459361839.sql;32;32;274;275;0;0;1;0;0;0;0;0
16;1461010033;1459361839.sql;1461010033.sql;32;32;275;276;0;0;1;0;0;0;0;0
17;1461366039;1461010033.sql;1461366039.sql;32;32;276;277;0;0;1;0;0;0;0;0
18;1461717185;1461366039.sql;1461717185.sql;32;32;277;278;0;0;1;0;0;0;0;0
19;1461794117;1461717185.sql;1461794117.sql;32;32;278;278;0;0;1;1;0;0;0;0
20;1462403741;1461794117.sql;1462403741.sql;32;33;278;288;1;0;0;0;0;0;10;0
21;1462487532;1462403741.sql;1462487532.sql;33;34;288;293;1;0;6;11;0;0;10;0
22;1462487592;1462487532.sql;1462487592.sql;34;33;293;286;0;1;9;6;0;0;0;10
23;1462831978;1462487592.sql;1462831978.sql;33;33;286;287;0;0;1;0;0;0;0;0
24;1463173392;1462831978.sql;1463173392.sql;33;33;287;278;0;0;0;9;0;0;0;0
25;1463415250;1463173392.sql;1463415250.sql;33;33;278;279;0;0;1;0;0;0;0;0
26;1463610869;1463415250.sql;1463610869.sql;33;33;279;288;0;0;10;1;0;0;0;0
27;1463763392;1463610869.sql;1463763392.sql;33;33;288;280;0;0;1;9;0;0;0;0
28;1464830602;1463763392.sql;1464830602.sql;33;35;280;298;2;0;3;0;0;0;15;0
29;1464910171;1464830602.sql;1464910171.sql;35;35;298;298;0;0;0;0;0;0;0;0
30;1465192229;1464910171.sql;1465192229.sql;35;35;298;300;0;0;2;0;0;0;0;0
31;1465244407;1465192229.sql;1465244407.sql;35;35;300;298;0;0;0;2;0;0;0;0
32;1465421459;1465244407.sql;1465421459.sql;35;35;298;301;0;0;3;0;0;0;0;0
33;1465514728;1465421459.sql;1465514728.sql;35;36;301;302;1;0;2;3;0;1;2;0
34;1465842041;1465514728.sql;1465842041.sql;36;35;302;301;0;1;3;2;0;1;0;2
35;1465942185;1465842041.sql;1465942185.sql;35;36;301;306;1;0;6;3;0;1;2;0
36;1466100306;1465942185.sql;1466100306.sql;36;36;306;303;0;0;0;3;0;0;0;0
37;1466115344;1466100306.sql;1466115344.sql;36;36;303;307;0;0;4;0;0;0;0;0
38;1466448787;1466115344.sql;1466448787.sql;36;36;307;304;0;0;0;3;1;0;0;0
39;1467075392;1466448787.sql;1467075392.sql;36;37;304;314;1;0;3;0;0;1;7;0
40;1467321249;1467075392.sql;1467321249.sql;37;37;314;314;0;0;0;0;1;2;0;0
41;1467925996;1467321249.sql;1467925996.sql;37;36;314;306;0;1;0;1;0;0;0;7
42;1468871551;1467925996.sql;1468871551.sql;36;36;306;306;0;0;0;0;0;0;0;0
43;1469576962;1468871551.sql;1469576962.sql;36;18;306;162;0;18;0;0;0;0;0;144
44;1469749678;1469576962.sql;1469749678.sql;18;19;162;170;1;0;1;0;0;0;7;0
45;1470695279;1469749678.sql;1470695279.sql;19;20;170;171;1;0;0;0;0;0;1;0
46;1506710356;1470695279.sql;1506710356.sql;20;22;171;183;2;0;1;0;0;0;11;0
47;1507137158;1506710356.sql;1507137158.sql;22;22;183;183;0;0;0;0;0;0;0;0
48;1520468267;1507137158.sql;1520468267.sql;22;22;183;184;0;0;1;0;0;0;0;0
49;1525212198;1520468267.sql;1525212198.sql;22;22;184;185;0;0;1;0;0;1;0;0
50;1525736561;1525212198.sql;1525736561.sql;22;22;185;185;0;0;0;0;0;2;0;0
51;1525902003;1525736561.sql;1525902003.sql;22;22;185;185;0;0;1;1;0;0;0;0
