;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;
tbl_country;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
tbl_event;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
tbl_person;8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
tbl_state;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
wp_pod;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|1|0];4[0|0|0|0];6[4|2|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];7[1|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|4|0];7[0|0|0|0];7[0|0|0|0];7[0|0|3|0];7[0|0|0|0];7[0|0|1|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
wp_pod_fields;8[0|0|0|0];8[0|0|0|0];9[1|0|0|0];9[0|0|0|0];10[1|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];10[0|0|2|0];10[0|0|0|0];12[2|0|0|0];13[1|0|0|0];14[1|0|0|0];14[0|0|0|0];15[1|0|5|0];16[3|2|0|0];16[0|0|0|0];16[0|0|0|0];16[0|0|0|0];16[0|0|1|0];16[0|0|0|0];16[0|0|1|0];16[0|0|0|0];16[0|0|0|0];16[0|0|0|0];16[0|0|7|0];16[0|0|0|0];16[0|0|1|0];16[0|0|0|0];16[0|0|0|0];16[0|0|1|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
wp_pod_helpers;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;3[0|0|0|0];4[1|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|1|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|1|0];4[0|0|0|0];4[0|0|1|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
wp_pod_menu;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|1|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|4|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
wp_pod_pages;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];4[1|0|0|0];4[0|0|0|0];5[1|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];6[1|0|1|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|1|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
wp_pod_rel;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[3|3|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];6[1|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|6|0];6[0|0|0|0];6[0|0|0|0];6[0|0|5|0];6[0|0|0|0];6[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
