trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1228191292;1227642470.sql;1228191292.sql;10;10;48;48;0;0;0;0;0;0;0;0
2;1228228926;1228191292.sql;1228228926.sql;10;10;48;49;0;0;1;0;0;0;0;0
3;1228867172;1228228926.sql;1228867172.sql;10;10;49;49;4;4;0;0;0;0;19;19
4;1229299488;1228867172.sql;1229299488.sql;10;10;49;50;0;0;1;0;0;0;0;0
5;1229608037;1229299488.sql;1229608037.sql;10;10;50;50;0;0;0;0;0;0;0;0
6;1229612366;1229608037.sql;1229612366.sql;10;10;50;50;4;4;0;0;0;0;19;19
7;1230059083;1229612366.sql;1230059083.sql;10;10;50;50;0;0;0;0;0;0;0;0
8;1230834501;1230059083.sql;1230834501.sql;10;10;50;50;0;0;0;0;0;0;0;0
9;1232721929;1230834501.sql;1232721929.sql;10;10;50;51;0;0;1;0;0;0;0;0
10;1232825085;1232721929.sql;1232825085.sql;10;10;51;51;0;0;0;0;0;0;0;0
11;1233105333;1232825085.sql;1233105333.sql;10;11;51;58;1;0;1;0;3;0;6;0
12;1234401348;1233105333.sql;1234401348.sql;11;11;58;58;1;1;0;0;0;0;3;3
13;1235177366;1234401348.sql;1235177366.sql;11;11;58;64;0;0;11;5;0;0;0;0
14;1235858642;1235177366.sql;1235858642.sql;11;11;64;67;0;0;3;0;0;0;0;0
15;1242958439;1235858642.sql;1242958439.sql;11;12;67;69;1;0;1;2;0;0;3;0
16;1243522030;1242958439.sql;1243522030.sql;12;10;69;56;0;2;2;0;0;0;0;15
17;1243956834;1243522030.sql;1243956834.sql;10;10;56;57;0;0;1;0;5;0;0;0
18;1244400084;1243956834.sql;1244400084.sql;10;10;57;58;0;0;3;2;0;0;0;0
19;1246113266;1244400084.sql;1246113266.sql;10;10;58;59;0;0;1;0;3;0;0;0
20;1253490880;1246113266.sql;1253490880.sql;10;10;59;60;0;0;1;0;0;0;0;0
21;1255636909;1253490880.sql;1255636909.sql;10;10;60;60;0;0;0;0;0;0;0;0
22;1256660065;1255636909.sql;1256660065.sql;10;10;60;60;0;0;0;0;2;0;0;0
23;1261088180;1256660065.sql;1261088180.sql;10;10;60;60;0;0;0;0;0;0;0;0
24;1263763720;1261088180.sql;1263763720.sql;10;9;60;60;0;1;5;2;2;0;0;3
25;1266169431;1263763720.sql;1266169431.sql;9;9;60;61;0;0;1;0;0;0;0;0
26;1268014919;1266169431.sql;1268014919.sql;9;9;61;61;0;0;0;0;1;0;0;0
27;1271201660;1268014919.sql;1271201660.sql;9;9;61;61;0;0;0;0;0;0;0;0
28;1278510764;1271201660.sql;1278510764.sql;9;8;61;58;0;1;0;0;26;0;0;3
29;1278529802;1278510764.sql;1278529802.sql;8;8;58;58;0;0;0;0;0;0;0;0
30;1280434473;1278529802.sql;1280434473.sql;8;8;58;58;0;0;0;0;3;0;0;0
31;1309912382;1280434473.sql;1309912382.sql;8;8;58;58;0;0;0;0;8;0;0;0
32;1311901213;1309912382.sql;1311901213.sql;8;7;58;52;0;1;0;0;0;0;0;6
33;1313166603;1311901213.sql;1313166603.sql;7;7;52;52;0;0;0;0;2;0;0;0
34;1314975688;1313166603.sql;1314975688.sql;7;5;52;36;5;7;0;0;0;0;36;52
35;1316644772;1314975688.sql;1316644772.sql;5;5;36;36;0;0;0;0;0;0;0;0
36;1325533919;1316644772.sql;1325533919.sql;5;4;36;31;0;1;0;0;1;0;0;5
37;1325536070;1325533919.sql;1325536070.sql;4;4;31;31;0;0;0;0;0;0;0;0
38;1325567136;1325536070.sql;1325567136.sql;4;4;31;31;0;0;0;0;2;0;0;0
39;1325568043;1325567136.sql;1325568043.sql;4;4;31;31;0;0;0;0;0;0;0;0
40;1342208908;1325568043.sql;1342208908.sql;4;1;31;8;0;3;0;0;0;0;0;23
41;1347207279;1342208908.sql;1347207279.sql;1;1;8;8;1;1;0;0;0;0;8;8
42;1347385677;1347207279.sql;1347385677.sql;1;1;8;8;0;0;0;0;0;0;0;0
43;1369087599;1347385677.sql;1369087599.sql;1;1;8;8;0;0;0;0;0;0;0;0
