trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1227642470		1227642470.sql	2008-11-25 19:47:50	0	0	0	0	10	0	48	10	0	48	0	0	0	0	0	0	0	48	0	0	48	0	48	1	0	1
1	1228191292	1227642470.sql	1228191292.sql	2008-12-02 04:14:52	6	1	1	10	10	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1228228926	1228191292.sql	1228228926.sql	2008-12-02 14:42:06	6	1	1	10	10	48	49	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
3	1228867172	1228228926.sql	1228867172.sql	2008-12-09 23:59:32	14	1	1	10	10	49	49	4	4	19	19	0	0	0	0	0	0	19	19	0	19	19	38	1	0	1
4	1229299488	1228867172.sql	1229299488.sql	2008-12-15 00:04:48	19	1	1	10	10	49	50	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
5	1229608037	1229299488.sql	1229608037.sql	2008-12-18 13:47:17	22	1	1	10	10	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1229612366	1229608037.sql	1229612366.sql	2008-12-18 14:59:26	22	1	1	10	10	50	50	4	4	19	19	0	0	0	0	0	0	19	19	0	19	19	38	1	0	1
7	1230059083	1229612366.sql	1230059083.sql	2008-12-23 19:04:43	27	1	1	10	10	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1230834501	1230059083.sql	1230834501.sql	2009-01-01 18:28:21	36	1	2	10	10	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1232721929	1230834501.sql	1232721929.sql	2009-01-23 14:45:29	58	1	2	10	10	50	51	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
10	1232825085	1232721929.sql	1232825085.sql	2009-01-24 19:24:45	59	1	2	10	10	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1233105333	1232825085.sql	1233105333.sql	2009-01-28 01:15:33	63	1	3	10	11	51	58	1	0	6	0	1	0	3	0	1	7	7	0	3	7	3	10	0	1	1
12	1234401348	1233105333.sql	1234401348.sql	2009-02-12 01:15:48	78	1	3	11	11	58	58	1	1	3	3	0	0	0	0	0	0	3	3	0	3	3	6	0	1	1
13	1235177366	1234401348.sql	1235177366.sql	2009-02-21 00:49:26	87	1	3	11	11	58	64	0	0	0	0	11	5	0	0	0	6	11	5	0	11	5	16	1	0	1
14	1235858642	1235177366.sql	1235858642.sql	2009-02-28 22:04:02	95	1	4	11	11	64	67	0	0	0	0	3	0	0	0	0	3	3	0	0	3	0	3	0	1	1
15	1242958439	1235858642.sql	1242958439.sql	2009-05-22 02:13:59	177	1	6	11	12	67	69	1	0	3	0	1	2	0	0	1	2	4	2	0	4	2	6	0	1	1
16	1243522030	1242958439.sql	1243522030.sql	2009-05-28 14:47:10	183	1	7	12	10	69	56	0	2	0	15	2	0	0	0	-2	-13	2	15	0	2	15	17	1	0	1
17	1243956834	1243522030.sql	1243956834.sql	2009-06-02 15:33:54	188	1	7	10	10	56	57	0	0	0	0	1	0	5	0	0	1	1	0	5	1	5	6	0	1	1
18	1244400084	1243956834.sql	1244400084.sql	2009-06-07 18:41:24	193	1	7	10	10	57	58	0	0	0	0	3	2	0	0	0	1	3	2	0	3	2	5	0	1	1
19	1246113266	1244400084.sql	1246113266.sql	2009-06-27 14:34:26	213	1	8	10	10	58	59	0	0	0	0	1	0	3	0	0	1	1	0	3	1	3	4	0	1	1
20	1253490880	1246113266.sql	1253490880.sql	2009-09-20 23:54:40	299	1	10	10	10	59	60	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
21	1255636909	1253490880.sql	1255636909.sql	2009-10-15 20:01:49	324	1	11	10	10	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	1256660065	1255636909.sql	1256660065.sql	2009-10-27 16:14:25	335	1	12	10	10	60	60	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	1	1
23	1261088180	1256660065.sql	1261088180.sql	2009-12-17 22:16:20	387	2	13	10	10	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1263763720	1261088180.sql	1263763720.sql	2010-01-17 21:28:40	418	2	14	10	9	60	60	0	1	0	3	5	2	2	0	-1	0	5	5	2	5	7	12	0	1	1
25	1266169431	1263763720.sql	1266169431.sql	2010-02-14 17:43:51	445	2	15	9	9	60	61	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
26	1268014919	1266169431.sql	1268014919.sql	2010-03-08 02:21:59	467	2	16	9	9	61	61	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
27	1271201660	1268014919.sql	1271201660.sql	2010-04-13 23:34:20	504	2	17	9	9	61	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	1278510764	1271201660.sql	1278510764.sql	2010-07-07 13:52:44	588	2	20	9	8	61	58	0	1	0	3	0	0	26	0	-1	-3	0	3	26	0	29	29	1	0	1
29	1278529802	1278510764.sql	1278529802.sql	2010-07-07 19:10:02	588	2	20	8	8	58	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	1280434473	1278529802.sql	1280434473.sql	2010-07-29 20:14:33	611	2	21	8	8	58	58	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	3	0	1	1
31	1309912382	1280434473.sql	1309912382.sql	2011-07-06 00:33:02	952	3	32	8	8	58	58	0	0	0	0	0	0	8	0	0	0	0	0	8	0	8	8	0	1	1
32	1311901213	1309912382.sql	1311901213.sql	2011-07-29 01:00:13	975	3	33	8	7	58	52	0	1	0	6	0	0	0	0	-1	-6	0	6	0	0	6	6	0	1	1
33	1313166603	1311901213.sql	1313166603.sql	2011-08-12 16:30:03	989	3	33	7	7	52	52	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	1	1
34	1314975688	1313166603.sql	1314975688.sql	2011-09-02 15:01:28	1010	3	34	7	5	52	36	5	7	36	52	0	0	0	0	-2	-16	36	52	0	36	52	88	1	0	1
35	1316644772	1314975688.sql	1316644772.sql	2011-09-21 22:39:32	1030	3	34	5	5	36	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	1325533919	1316644772.sql	1325533919.sql	2012-01-02 19:51:59	1133	4	38	5	4	36	31	0	1	0	5	0	0	1	0	-1	-5	0	5	1	0	6	6	0	1	1
37	1325536070	1325533919.sql	1325536070.sql	2012-01-02 20:27:50	1133	4	38	4	4	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	1325567136	1325536070.sql	1325567136.sql	2012-01-03 05:05:36	1133	4	38	4	4	31	31	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	1	1
39	1325568043	1325567136.sql	1325568043.sql	2012-01-03 05:20:43	1133	4	38	4	4	31	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
