table;dur;birth;death;chngs;s@s;s@e;sAvg
tbl_country;3;0;2;0;2;2;2.0
tbl_event;3;0;2;0;7;7;7.0
tbl_person;3;0;2;0;8;8;8.0
tbl_state;3;0;2;0;2;2;2.0
wp_pod;34;0;33;16;4;7;5.5
wp_pod_fields;34;0;33;30;8;16;13.176471
wp_pod_helpers;22;12;33;4;3;4;3.9545455
wp_pod_menu;21;11;31;5;6;6;6.0
wp_pod_pages;34;0;33;5;3;6;4.7352943
wp_pod_rel;34;0;33;18;5;6;5.2941175
wp_pod_tbl_country;18;6;23;1;2;3;2.4444444
wp_pod_tbl_event;10;6;15;0;7;7;7.0
wp_pod_tbl_person;10;6;15;0;8;8;8.0
wp_pod_tbl_state;22;6;27;2;2;3;2.5454545
wp_pod_templates;19;15;33;3;3;3;3.0
wp_pod_types;34;0;33;15;6;10;7.7941175
wp_pod_widgets;12;0;11;0;3;3;3.0
wp_pods;6;34;39;0;8;8;8.0
wp_pods_fields;6;34;39;0;10;10;10.0
wp_pods_objects;6;34;39;2;5;5;5.0
wp_pods_rel;7;34;40;1;8;8;8.0
wp_pods_tbl_podnamehere;2;34;35;0;5;5;5.0
wp_podsrel;3;41;-;0;8;8;8.0
wp_tbl_country;3;3;5;0;2;2;2.0
wp_tbl_event;3;3;5;0;7;7;7.0
wp_tbl_person;3;3;5;0;8;8;8.0
wp_tbl_state;3;3;5;0;2;2;2.0
