Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
tbl_country	3	0	2	2	2008-11-25 19:47:50	2008-12-02 14:42:06	0	1	6	2	2	2	1	0	0	0	0		10	0	10
tbl_event	3	0	2	2	2008-11-25 19:47:50	2008-12-02 14:42:06	0	1	6	7	7	7	1	0	0	0	0		10	0	10
tbl_person	3	0	2	2	2008-11-25 19:47:50	2008-12-02 14:42:06	0	1	6	8	8	8	1	0	0	0	0		10	0	10
tbl_state	3	0	2	2	2008-11-25 19:47:50	2008-12-02 14:42:06	0	1	6	2	2	2	1	0	0	0	0		10	0	10
wp_pod	34	0	33	33	2008-11-25 19:47:50	2011-08-12 16:30:03	0	3	989	4	7	5.5	1.75	16	6	0.47	0.18	2.67	10	2	12
wp_pod_fields	34	0	33	33	2008-11-25 19:47:50	2011-08-12 16:30:03	0	3	989	8	16	13.18	2	30	13	0.88	0.38	2.31	10	2	12
wp_pod_helpers	22	12	33	33	2009-02-12 01:15:48	2011-08-12 16:30:03	1	3	911	3	4	3.95	1.33	4	4	0.18	0.18	1	10	1	11
wp_pod_menu	21	11	31	31	2009-01-28 01:15:33	2011-07-06 00:33:02	1	3	888	6	6	6	1	5	2	0.24	0.1	2.5	10	1	11
wp_pod_pages	34	0	33	33	2008-11-25 19:47:50	2011-08-12 16:30:03	0	3	989	3	6	4.74	2	5	4	0.15	0.12	1.25	10	1	11
wp_pod_rel	34	0	33	33	2008-11-25 19:47:50	2011-08-12 16:30:03	0	3	989	5	6	5.29	1.2	18	4	0.53	0.12	4.5	10	2	12
wp_pod_tbl_country	18	6	23	23	2008-12-18 14:59:26	2009-12-17 22:16:20	1	2	364	2	3	2.44	1.5	1	1	0.06	0.06	1	10	1	11
wp_pod_tbl_event	10	6	15	15	2008-12-18 14:59:26	2009-05-22 02:13:59	1	1	154	7	7	7	1	0	0	0	0		10	0	10
wp_pod_tbl_person	10	6	15	15	2008-12-18 14:59:26	2009-05-22 02:13:59	1	1	154	8	8	8	1	0	0	0	0		10	0	10
wp_pod_tbl_state	22	6	27	27	2008-12-18 14:59:26	2010-04-13 23:34:20	1	2	481	2	3	2.55	1.5	2	2	0.09	0.09	1	10	1	11
wp_pod_templates	19	15	33	33	2009-05-22 02:13:59	2011-08-12 16:30:03	1	3	812	3	3	3	1	3	3	0.16	0.16	1	10	1	11
wp_pod_types	34	0	33	33	2008-11-25 19:47:50	2011-08-12 16:30:03	0	3	989	6	10	7.79	1.67	15	7	0.44	0.21	2.14	10	2	12
wp_pod_widgets	12	0	11	11	2008-11-25 19:47:50	2009-01-28 01:15:33	0	1	63	3	3	3	1	0	0	0	0		10	0	10
wp_pods	6	34	39	39	2011-09-02 15:01:28	2012-01-03 05:20:43	3	4	122	8	8	8	1	0	0	0	0		10	0	10
wp_pods_fields	6	34	39	39	2011-09-02 15:01:28	2012-01-03 05:20:43	3	4	122	10	10	10	1	0	0	0	0		10	0	10
wp_pods_objects	6	34	39	39	2011-09-02 15:01:28	2012-01-03 05:20:43	3	4	122	5	5	5	1	2	1	0.33	0.17	2	10	1	11
wp_pods_rel	7	34	40	40	2011-09-02 15:01:28	2012-07-13 19:48:28	3	4	315	8	8	8	1	1	1	0.14	0.14	1	10	1	11
wp_pods_tbl_podnamehere	2	34	35	35	2011-09-02 15:01:28	2011-09-21 22:39:32	3	3	19	5	5	5	1	0	0	0	0		10	0	10
wp_podsrel	3	41	-	43	2012-09-09 16:14:39	2013-05-20 22:06:39	4	5	253	8	8	8	1	0	0	0	0		20	0	20
wp_tbl_country	3	3	5	5	2008-12-09 23:59:32	2008-12-18 13:47:17	1	1	8	2	2	2	1	0	0	0	0		10	0	10
wp_tbl_event	3	3	5	5	2008-12-09 23:59:32	2008-12-18 13:47:17	1	1	8	7	7	7	1	0	0	0	0		10	0	10
wp_tbl_person	3	3	5	5	2008-12-09 23:59:32	2008-12-18 13:47:17	1	1	8	8	8	8	1	0	0	0	0		10	0	10
wp_tbl_state	3	3	5	5	2008-12-09 23:59:32	2008-12-18 13:47:17	1	1	8	2	2	2	1	0	0	0	0		10	0	10
