;0;1;2;3;4;5;6;7;8;9;10;11;12;13;
archive;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
archive_prefs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
bosh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
caps_features;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
carboncopy;0;0;0;0;0;0;0;0;-;-;-;-;-;-;
irc_custom;0;0;0;0;0;-;-;-;-;-;-;-;-;-;
last;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
mix_channel;-;-;-;-;-;-;-;-;-;0;-;0;0;0;
mix_pam;-;-;-;-;-;-;-;-;-;0;-;0;0;0;
mix_participant;-;-;-;-;-;-;-;-;-;0;-;0;0;0;
mix_subscription;-;-;-;-;-;-;-;-;-;0;-;0;0;0;
motd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
mqtt_pub;-;-;-;-;-;-;-;-;-;-;-;-;-;0;
muc_online_room;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
muc_online_users;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
muc_registered;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
muc_room;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
muc_room_subscribers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
oauth_token;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
privacy_default_list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
privacy_list;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
privacy_list_data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
private_storage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
proxy65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
pubsub_item;0;0;0;0;2;0;0;1;0;0;0;0;0;0;
pubsub_node;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
pubsub_node_option;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
pubsub_node_owner;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
pubsub_state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
pubsub_subscription_opt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
push_session;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
roster_version;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
rostergroups;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
rosterusers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
route;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
sm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
spool;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
sr_group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
sr_user;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
users;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
vcard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
vcard_search;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
