trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1514310495		1514310495.sql	2017-12-26 17:48:15	0	0	0	0	37	0	213	37	0	213	0	0	0	0	0	0	0	213	0	0	213	0	213	1	0	1
1	1517830439	1514310495.sql	1517830439.sql	2018-02-05 11:33:59	40	1	2	37	37	213	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1519429820	1517830439.sql	1519429820.sql	2018-02-23 23:50:20	59	1	2	37	37	213	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1519634584	1519429820.sql	1519634584.sql	2018-02-26 08:43:04	61	1	2	37	37	213	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1524573892	1519634584.sql	1524573892.sql	2018-04-24 12:44:52	118	1	4	37	37	213	213	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	1	1
5	1529486864	1524573892.sql	1529486864.sql	2018-06-20 09:27:44	175	1	6	37	36	213	208	0	1	0	5	0	0	0	0	-1	-5	0	5	0	0	5	5	0	1	1
6	1537123357	1529486864.sql	1537123357.sql	2018-09-16 18:42:37	264	1	9	36	36	208	208	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	3	0	1	1
7	1537981305	1537123357.sql	1537981305.sql	2018-09-26 17:01:45	273	1	9	36	36	208	208	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
8	1543660424	1537981305.sql	1543660424.sql	2018-12-01 10:33:44	339	1	12	36	35	208	203	0	1	0	5	0	0	0	0	-1	-5	0	5	0	0	5	5	0	1	1
9	1544004869	1543660424.sql	1544004869.sql	2018-12-05 10:14:29	343	1	12	35	39	203	231	4	0	28	0	0	0	0	0	4	28	28	0	0	28	0	28	1	0	1
10	1546984290	1544004869.sql	1546984290.sql	2019-01-08 21:51:30	378	2	13	39	35	231	203	0	4	0	28	0	0	0	0	-4	-28	0	28	0	0	28	28	1	0	1
11	1550741793	1546984290.sql	1550741793.sql	2019-02-21 09:36:33	421	2	14	35	39	203	231	4	0	28	0	0	0	0	0	4	28	28	0	0	28	0	28	1	0	1
12	1551183184	1550741793.sql	1551183184.sql	2019-02-26 12:13:04	426	2	14	39	39	231	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1551261977	1551183184.sql	1551261977.sql	2019-02-27 10:06:17	427	2	15	39	40	231	243	1	0	12	0	0	0	0	0	1	12	12	0	0	12	0	12	0	1	1
