;0;1;2;3;4;5;6;7;8;9;10;
bootstraps;10;10;10;10;10;10;10;10;10;10;10;
images;5;5;5;5;5;5;5;5;5;5;5;
layouts;0;0;0;2;2;2;2;2;2;2;2;
localization;6;0;0;0;0;0;0;0;0;0;0;
localization_text;4;0;0;0;0;0;0;0;0;0;0;
obligations;0;6;6;6;6;6;6;6;6;6;6;
page;5;0;0;0;0;0;0;0;0;0;0;
posts;6;6;6;9;9;9;9;9;9;9;9;
posts_tags;3;3;3;2;2;2;2;2;2;2;2;
roles;2;2;2;2;2;2;2;2;2;2;2;
settings;0;0;0;2;4;4;10;10;10;10;10;
tags;10;10;10;6;5;5;6;6;6;6;6;
themes;0;0;0;0;2;2;2;2;2;2;2;
user;6;0;0;0;0;0;0;0;0;0;0;
users;15;15;15;15;15;15;15;15;15;15;15;
