trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1427841504;1427746192.sql;1427841504.sql;24;24;190;190;0;0;0;0;0;0;0;0
2;1428033115;1427841504.sql;1428033115.sql;24;24;190;190;0;0;0;0;0;0;0;0
3;1428081812;1428033115.sql;1428081812.sql;24;24;190;196;0;0;8;2;1;0;0;0
4;1428117679;1428081812.sql;1428117679.sql;24;24;196;196;0;0;0;0;0;0;0;0
5;1428234144;1428117679.sql;1428234144.sql;24;24;196;194;1;1;0;0;0;0;11;13
6;1428244072;1428234144.sql;1428244072.sql;24;24;194;195;0;0;1;0;0;0;0;0
7;1428286642;1428244072.sql;1428286642.sql;24;25;195;199;1;0;2;5;0;0;7;0
8;1430005946;1428286642.sql;1430005946.sql;25;25;199;199;0;0;0;0;0;0;0;0
9;1430154714;1430005946.sql;1430154714.sql;25;25;199;199;0;0;0;0;0;0;0;0
10;1430168736;1430154714.sql;1430168736.sql;25;25;199;199;0;0;0;0;0;0;0;0
11;1430170276;1430168736.sql;1430170276.sql;25;25;199;199;0;0;0;0;0;0;0;0
12;1430247845;1430170276.sql;1430247845.sql;25;25;199;199;0;0;0;0;0;0;0;0
13;1430760206;1430247845.sql;1430760206.sql;25;25;199;199;0;0;0;0;0;0;0;0
14;1430834340;1430760206.sql;1430834340.sql;25;26;199;205;1;0;1;0;0;0;5;0
15;1430917913;1430834340.sql;1430917913.sql;26;26;205;205;5;5;0;0;0;0;39;39
16;1431051761;1430917913.sql;1431051761.sql;26;26;205;205;0;0;0;0;0;0;0;0
17;1431122538;1431051761.sql;1431122538.sql;26;26;205;205;0;0;0;0;0;0;0;0
18;1431145756;1431122538.sql;1431145756.sql;26;26;205;204;0;0;0;1;0;0;0;0
19;1431226417;1431145756.sql;1431226417.sql;26;26;204;204;0;0;0;0;0;0;0;0
20;1431464200;1431226417.sql;1431464200.sql;26;26;204;210;0;0;9;3;0;0;0;0
21;1432463770;1431464200.sql;1432463770.sql;26;26;210;210;0;0;0;0;0;0;0;0
22;1432464385;1432463770.sql;1432464385.sql;26;26;210;210;0;0;0;0;0;0;0;0
23;1432470474;1432464385.sql;1432470474.sql;26;26;210;210;0;0;0;0;0;0;0;0
24;1432667331;1432470474.sql;1432667331.sql;26;26;210;210;0;0;0;0;0;0;0;0
25;1432670053;1432667331.sql;1432670053.sql;26;26;210;210;0;0;0;0;0;0;0;0
26;1490131485;1432670053.sql;1490131485.sql;26;26;210;210;0;0;0;0;1;0;0;0
