Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
acos	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	7	7	7	1	0	0	0	0		20	0	20
block_regions	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	5	5	5	1	0	0	0	0		20	0	20
blocks	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	13	12	12.67	0.92	1	1	0.04	0.04	1	20	1	21
blocks_roles	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	4	4	4	1	0	0	0	0		20	0	20
comments	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	16	16	16	1	0	0	0	0		20	0	20
content_revisions	12	15	-	26	2015-05-06 13:11:53	2017-03-21 21:24:45	1	2	685	6	6	6	1	0	0	0	0		20	0	20
content_type_permissions	12	15	-	26	2015-05-06 13:11:53	2017-03-21 21:24:45	1	2	685	5	5	5	1	0	0	0	0		20	0	20
content_types	12	15	-	26	2015-05-06 13:11:53	2017-03-21 21:24:45	1	2	685	7	7	7	1	0	0	0	0		20	0	20
contents	12	15	-	26	2015-05-06 13:11:53	2017-03-21 21:24:45	1	2	685	17	17	17	1	0	0	0	0		20	0	20
contents_roles	12	15	-	26	2015-05-06 13:11:53	2017-03-21 21:24:45	1	2	685	4	4	4	1	0	0	0	0		20	0	20
eav_attributes	20	7	-	26	2015-04-06 02:17:22	2017-03-21 21:24:45	1	2	715	7	7	7	1	0	0	0	0		20	0	20
eav_values	22	5	-	26	2015-04-05 11:42:24	2017-03-21 21:24:45	1	2	716	11	16	12.05	1.45	17	3	0.77	0.14	5.67	20	2	22
entities_terms	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	5	5	5	1	0	0	0	0		20	0	20
field_instances	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	12	12	12.15	1	4	2	0.15	0.07	2	20	1	21
field_values	5	0	4	4	2015-03-30 20:09:52	2015-04-04 03:21:19	0	1	4	8	13	10	1.62	10	1	2	0.2	10	10	2	12
languages	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	8	8	8	1	0	0	0	0		20	0	20
menu_links	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	14	14	14	1	0	0	0	0		20	0	20
menus	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	7	7	7	1	0	0	0	0		20	0	20
node_revisions	15	0	14	14	2015-03-30 20:09:52	2015-05-05 13:59:00	0	1	35	5	6	5.07	1.2	1	1	0.07	0.07	1	10	1	11
node_type_permissions	1	14	14	14	2015-05-05 13:59:00	2015-05-05 13:59:00	1	1	0	5	5	5	1	0	0	0	0		10	0	10
node_types	15	0	14	14	2015-03-30 20:09:52	2015-05-05 13:59:00	0	1	35	7	7	7	1	0	0	0	0		10	0	10
nodes	15	0	14	14	2015-03-30 20:09:52	2015-05-05 13:59:00	0	1	35	17	17	17	1	0	0	0	0		10	0	10
nodes_roles	15	0	14	14	2015-03-30 20:09:52	2015-05-05 13:59:00	0	1	35	4	4	4	1	0	0	0	0		10	0	10
options	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	5	5	5	1	0	0	0	0		20	0	20
permissions	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	3	3	3	1	0	0	0	0		20	0	20
plugins	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	6	6	6	1	0	0	0	0		20	0	20
roles	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	3	3	3	1	0	0	0	0		20	0	20
search_datasets	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	4	4	4	1	1	1	0.04	0.04	1	20	1	21
terms	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	9	9	9	1	0	0	0	0		20	0	20
users	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	15	15	15	1	0	0	0	0		20	0	20
users_roles	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	4	4	4	1	0	0	0	0		20	0	20
vocabularies	27	0	-	26	2015-03-30 20:09:52	2017-03-21 21:24:45	0	2	722	9	9	9	1	0	0	0	0		20	0	20
