trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1434315712.sql;1438422986.sql;download;Insertion:NewTable;added_time;BIGINT(20);false;0;-
1;1434315712.sql;1438422986.sql;download;Insertion:NewTable;id;BIGINT(20);false;0;-
1;1434315712.sql;1438422986.sql;download;Insertion:NewTable;link;TEXT;false;0;-
1;1434315712.sql;1438422986.sql;download;Insertion:NewTable;rating;TINYINT(4);false;0;-
1;1434315712.sql;1438422986.sql;download;Insertion:NewTable;status;TINYINT(4);false;0;-
1;1434315712.sql;1438422986.sql;download;Insertion:NewTable;user_name;VARCHAR(256);false;0;-
1;1434315712.sql;1438422986.sql;user;Deletion:DeleteTable;auth;TINYINT(11);false;0;-
1;1434315712.sql;1438422986.sql;user;Deletion:DeleteTable;blocked;TINYINT(1);false;0;-
1;1434315712.sql;1438422986.sql;user;Deletion:DeleteTable;email;VARCHAR(256);false;0;-
1;1434315712.sql;1438422986.sql;user;Deletion:DeleteTable;password;VARCHAR(256);false;0;-
1;1434315712.sql;1438422986.sql;user;Deletion:DeleteTable;user_name;VARCHAR(256);false;0;-
2;1438422986.sql;1462122015.sql;download;Insertion:UpdateTable;completed_time;BIGINT(20);false;0;-
2;1438422986.sql;1462122015.sql;download;Insertion:UpdateTable;gid;VARCHAR(256);false;0;-
2;1438422986.sql;1462122015.sql;download;Insertion:UpdateTable;path;TEXT;false;0;-
2;1438422986.sql;1462122015.sql;rate;Insertion:NewTable;id;BIGINT(20);false;0;-
2;1438422986.sql;1462122015.sql;rate;Insertion:NewTable;rate;TINYINT(1);false;0;-
2;1438422986.sql;1462122015.sql;rate;Insertion:NewTable;user_name;VARCHAR(256);false;0;-
2;1438422986.sql;1462122015.sql;user;Insertion:NewTable;auth;TINYINT(11);false;0;-
2;1438422986.sql;1462122015.sql;user;Insertion:NewTable;blocked;TINYINT(1);false;0;-
2;1438422986.sql;1462122015.sql;user;Insertion:NewTable;email;VARCHAR(256);false;0;-
2;1438422986.sql;1462122015.sql;user;Insertion:NewTable;password;VARCHAR(256);false;0;-
2;1438422986.sql;1462122015.sql;user;Insertion:NewTable;user_name;VARCHAR(256);false;0;-
3;1462122015.sql;1469962168.sql;download;Insertion:UpdateTable;download_name;VARCHAR(256);false;0;-
3;1462122015.sql;1469962168.sql;download;Insertion:UpdateTable;size;VARCHAR(7);false;0;-
4;1469962168.sql;1470068678.sql;download;Deletion:UpdateTable;download_name;VARCHAR(256);false;0;-
4;1469962168.sql;1470068678.sql;download;Deletion:UpdateTable;size;VARCHAR(7);false;0;-
4;1469962168.sql;1470068678.sql;user;Insertion:UpdateTable;approved;TINYINT(1);false;0;-
5;1470068678.sql;1470323226.sql;download;Insertion:UpdateTable;download_name;VARCHAR(256);false;0;-
5;1470068678.sql;1470323226.sql;download;Insertion:UpdateTable;size;VARCHAR(7);false;0;-
6;1470323226.sql;1513951212.sql;-;-;-;-;-;-;-
