table;dur;birth;death;chngs;s@s;s@e;sAvg
new_s_article_configurator_options;11;0;-;0;4;4;4.0
new_s_article_configurator_set_group_relations;11;0;-;0;2;2;2.0
new_s_article_configurator_set_option_relations;11;0;-;0;2;2;2.0
s_addon_premiums;11;0;-;0;5;5;5.0
s_article_configurator_dependencies;11;0;-;0;4;4;4.0
s_article_configurator_groups;11;0;-;0;4;4;4.0
s_article_configurator_option_relations;11;0;-;0;3;3;3.0
s_article_configurator_options;11;0;-;0;4;4;4.0
s_article_configurator_price_surcharges;11;0;-;0;5;5;5.0
s_article_configurator_set_group_relations;11;0;-;0;3;3;3.0
s_article_configurator_set_option_relations;11;0;-;0;3;3;3.0
s_article_configurator_sets;11;0;-;0;4;4;4.0
s_article_configurator_template_prices;11;0;-;0;9;9;9.0
s_article_configurator_template_prices_attributes;11;0;-;0;2;2;2.0
s_article_configurator_templates_attributes;11;0;-;0;22;22;22.0
s_article_img_mapping_rules;11;0;-;0;3;3;3.0
s_article_img_mappings;11;0;-;0;2;2;2.0
s_articles;11;0;-;0;26;26;26.0
s_articles_attributes;11;0;-;0;23;23;23.0
s_articles_avoid_customergroups;11;0;-;0;2;2;2.0
s_articles_categories;11;0;-;0;3;3;3.0
s_articles_details;11;0;-;0;27;27;27.0
s_articles_downloads;11;0;-;0;5;5;5.0
s_articles_downloads_attributes;11;0;-;0;2;2;2.0
s_articles_esd;11;0;-;0;8;8;8.0
s_articles_esd_attributes;11;0;-;0;2;2;2.0
s_articles_esd_serials;11;0;-;0;3;3;3.0
s_articles_img;11;0;-;0;13;13;13.0
s_articles_img_attributes;11;0;-;0;5;5;5.0
s_articles_information;11;0;-;0;5;5;5.0
s_articles_information_attributes;11;0;-;0;2;2;2.0
s_articles_notification;11;0;-;0;7;7;7.0
s_articles_prices;11;0;-;0;10;10;10.0
s_articles_prices_attributes;11;0;-;0;2;2;2.0
s_articles_relationships;11;0;-;0;3;3;3.0
s_articles_similar;11;0;-;0;3;3;3.0
s_articles_supplier;11;0;-;0;5;5;5.0
s_articles_supplier_attributes;11;0;-;0;2;2;2.0
s_articles_translations;11;0;-;0;13;13;13.0
s_articles_vote;11;0;-;0;11;11;11.0
s_billing_template;11;0;-;0;8;8;8.0
s_blog;11;0;-;0;12;12;12.0
s_blog_assigned_articles;11;0;-;0;3;3;3.0
s_blog_attributes;11;0;-;0;8;8;8.0
s_blog_comments;11;0;-;0;9;9;9.0
s_blog_media;11;0;-;0;4;4;4.0
s_blog_tags;11;0;-;0;3;3;3.0
s_campaigns_articles;11;0;-;0;6;6;6.0
s_campaigns_banner;11;0;-;0;6;6;6.0
s_campaigns_containers;11;0;-;0;6;6;6.0
s_campaigns_groups;11;0;-;0;2;2;2.0
s_campaigns_html;11;0;-;0;7;7;7.0
s_campaigns_links;11;0;-;0;6;6;6.0
s_campaigns_logs;11;0;-;0;5;5;5.0
s_campaigns_mailaddresses;11;0;-;0;6;6;6.0
