trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1377166095.sql;1380108385.sql;-;-;-;-;-;-;-
2;1380108385.sql;1380193767.sql;-;-;-;-;-;-;-
3;1380193767.sql;1382421714.sql;-;-;-;-;-;-;-
4;1382421714.sql;1386755529.sql;-;-;-;-;-;-;-
5;1386755529.sql;1401978545.sql;-;-;-;-;-;-;-
6;1401978545.sql;1417185111.sql;-;-;-;-;-;-;-
7;1417185111.sql;1545312605.sql;-;-;-;-;-;-;-
8;1545312605.sql;1551085180.sql;-;-;-;-;-;-;-
9;1551085180.sql;1555427071.sql;-;-;-;-;-;-;-
10;1555427071.sql;1556257729.sql;-;-;-;-;-;-;-
