;0;1;2;
access_location;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
access_rack;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
connection;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
connection_type;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
connection_type_lang;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
dbversion;1[0|0|0|0];1[0|0|0|0];1[0|0|0|0];
device;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
device_port;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
device_type;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
device_type_lang;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
group;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
language;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
ldap;8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];
location;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
rack;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
session;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
user;8[0|0|0|0];8[2|2|0|0];8[2|2|0|0];
user_group;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
