Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
_feeds	8	0	-	7	2015-04-16 21:05:53	2015-05-04 04:13:11	0	1	17	2	3	2.38	1.5	2	1	0.25	0.12	2	20	1	21
_stops_routes	1	7	-	7	2015-05-04 04:13:11	2015-05-04 04:13:11	1	1	0	3	3	3	1	0	0	0	0		20	0	20
agency	8	0	-	7	2015-04-16 21:05:53	2015-05-04 04:13:11	0	1	17	8	8	8	1	2	1	0.25	0.12	2	20	1	21
calendar	8	0	-	7	2015-04-16 21:05:53	2015-05-04 04:13:11	0	1	17	11	11	11	1	2	1	0.25	0.12	2	20	1	21
calendar_dates	8	0	-	7	2015-04-16 21:05:53	2015-05-04 04:13:11	0	1	17	4	4	4	1	2	1	0.25	0.12	2	20	1	21
fare_attributes	2	0	1	1	2015-04-16 21:05:53	2015-04-18 11:18:29	0	1	1	7	7	7	1	0	0	0	0		10	0	10
fare_rules	2	0	1	1	2015-04-16 21:05:53	2015-04-18 11:18:29	0	1	1	6	6	6	1	0	0	0	0		10	0	10
feed_info	2	0	1	1	2015-04-16 21:05:53	2015-04-18 11:18:29	0	1	1	7	7	7	1	0	0	0	0		10	0	10
frequencies	8	0	-	7	2015-04-16 21:05:53	2015-05-04 04:13:11	0	1	17	6	6	6	1	2	1	0.25	0.12	2	20	1	21
routes	8	0	-	7	2015-04-16 21:05:53	2015-05-04 04:13:11	0	1	17	10	10	10	1	2	1	0.25	0.12	2	20	1	21
shapes	2	0	1	1	2015-04-16 21:05:53	2015-04-18 11:18:29	0	1	1	6	6	6	1	0	0	0	0		10	0	10
stop_times	8	0	-	7	2015-04-16 21:05:53	2015-05-04 04:13:11	0	1	17	11	12	11.5	1.09	4	3	0.5	0.38	1.33	20	1	21
stops	8	0	-	7	2015-04-16 21:05:53	2015-05-04 04:13:11	0	1	17	13	13	13	1	2	1	0.25	0.12	2	20	1	21
transfers	2	0	1	1	2015-04-16 21:05:53	2015-04-18 11:18:29	0	1	1	5	5	5	1	0	0	0	0		10	0	10
trips	8	0	-	7	2015-04-16 21:05:53	2015-05-04 04:13:11	0	1	17	11	12	11.25	1.09	3	2	0.38	0.25	1.5	20	1	21
