mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2012-04	1	1	11	1	0	11	0	0	0	0	0	0	0	11	0	0	11	0	11
1	2012-05	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2012-06	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2012-07	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2012-08	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2012-09	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2012-10	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2012-11	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2012-12	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2013-01	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2013-02	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2013-03	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2013-04	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2013-05	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2013-06	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2013-07	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2013-08	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2013-09	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2013-10	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2013-11	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2013-12	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2014-01	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	2014-02	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2014-03	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2014-04	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2014-05	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2014-06	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2014-07	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	2014-08	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	2014-09	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2014-10	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	2014-11	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	2014-12	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2015-01	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	2015-02	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	2015-03	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	2015-04	1	1	11	0	0	0	0	0	0	3	0	0	0	0	0	3	0	3	3
