trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;COMMENT;'操作人';false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;all_url;VARCHAR(127);false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;ext;VARCHAR(1023);false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;id;INT(10);false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;incr_url;VARCHAR(127);false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;keywords;VARCHAR(63);false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;list_selector;VARCHAR(31);false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;max_page;INTUNSIGNED;false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;mtime;TIMESTAMP;false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;op_user;VARCHAR(20);false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;page_field;VARCHAR(20);false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;result_selector;VARCHAR(31);false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;status;TINYINTUNSIGNED;false;0;-
1;1465430992.sql;1486548647.sql;auto_crawl_rule;Insertion:NewTable;website;VARCHAR(20);false;0;-
2;1486548647.sql;1491064075.sql;book;Insertion:NewTable;COMMENT;'最后更新时间';false;0;-
2;1486548647.sql;1491064075.sql;book;Insertion:NewTable;author;VARCHAR(15);false;0;-
2;1486548647.sql;1491064075.sql;book;Insertion:NewTable;buy_url;VARCHAR(127);false;0;-
2;1486548647.sql;1491064075.sql;book;Insertion:NewTable;catalogue;VARCHAR(2046);false;0;-
2;1486548647.sql;1491064075.sql;book;Insertion:NewTable;cmtnum;INTUNSIGNED;false;0;-
2;1486548647.sql;1491064075.sql;book;Insertion:NewTable;cover;VARCHAR(127);false;0;-
2;1486548647.sql;1491064075.sql;book;Insertion:NewTable;created_at;TIMESTAMP;false;0;-
2;1486548647.sql;1491064075.sql;book;Insertion:NewTable;desc;VARCHAR(1022);false;0;-
