trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1323164960;1320497799.sql;1323164960.sql;20;20;107;106;0;0;0;1;0;0;0;0
2;1323439049;1323164960.sql;1323439049.sql;20;20;106;106;0;0;0;0;0;0;0;0
3;1331427859;1323439049.sql;1331427859.sql;20;21;106;112;1;0;0;0;1;0;6;0
4;1343341883;1331427859.sql;1343341883.sql;21;21;112;112;0;0;1;1;0;0;0;0
5;1343741080;1343341883.sql;1343741080.sql;21;21;112;114;0;0;2;0;0;0;0;0
6;1343755566;1343741080.sql;1343755566.sql;21;21;114;114;0;0;0;0;0;0;0;0
7;1343756419;1343755566.sql;1343756419.sql;21;21;114;112;0;0;0;2;0;0;0;0
8;1349355153;1343756419.sql;1349355153.sql;21;21;112;112;0;0;0;0;1;0;0;0
9;1364160005;1349355153.sql;1364160005.sql;21;21;112;112;0;0;0;0;1;0;0;0
10;1372332508;1364160005.sql;1372332508.sql;21;20;112;106;0;1;0;0;0;0;0;6
11;1394713937;1372332508.sql;1394713937.sql;20;20;106;106;0;0;0;0;1;0;0;0
12;1395085338;1394713937.sql;1395085338.sql;20;20;106;106;0;0;0;0;1;0;0;0
13;1396262973;1395085338.sql;1396262973.sql;20;20;106;107;0;0;1;0;0;0;0;0
14;1402390326;1396262973.sql;1402390326.sql;20;20;107;109;0;0;2;0;0;0;0;0
15;1405215495;1402390326.sql;1405215495.sql;20;20;109;108;0;0;0;1;0;0;0;0
16;1415365159;1405215495.sql;1415365159.sql;20;20;108;110;0;0;2;0;0;0;0;0
17;1416995735;1415365159.sql;1416995735.sql;20;20;110;111;0;0;1;0;0;0;0;0
18;1417333219;1416995735.sql;1417333219.sql;20;20;111;111;0;0;0;0;0;0;0;0
19;1418639561;1417333219.sql;1418639561.sql;20;20;111;111;0;0;0;0;0;0;0;0
20;1461613363;1418639561.sql;1461613363.sql;20;20;111;111;0;0;0;0;0;0;0;0
21;1492789027;1461613363.sql;1492789027.sql;20;20;111;116;0;0;5;0;0;0;0;0
22;1497892961;1492789027.sql;1497892961.sql;20;20;116;118;0;0;2;0;0;0;0;0
23;1497989157;1497892961.sql;1497989157.sql;20;20;118;118;0;0;0;0;0;0;0;0
