trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1425635201;1425626870.sql;1425635201.sql;11;11;55;55;0;0;2;2;0;0;0;0
2;1446719111;1425635201.sql;1446719111.sql;11;12;55;62;1;0;0;0;0;0;7;0
3;1447228213;1446719111.sql;1447228213.sql;12;16;62;90;4;0;0;0;0;0;28;0
4;1447229533;1447228213.sql;1447229533.sql;16;16;90;88;0;0;2;4;0;0;0;0
5;1447230732;1447229533.sql;1447230732.sql;16;17;88;96;1;0;0;0;0;0;8;0
6;1447257750;1447230732.sql;1447257750.sql;17;17;96;96;0;0;0;0;0;0;0;0
7;1447311024;1447257750.sql;1447311024.sql;17;19;96;109;2;0;0;0;0;0;13;0
8;1447604508;1447311024.sql;1447604508.sql;19;19;109;105;0;0;0;4;5;0;0;0
9;1450252067;1447604508.sql;1450252067.sql;19;20;105;109;1;0;0;0;0;0;4;0
10;1452849801;1450252067.sql;1452849801.sql;20;20;109;110;0;0;1;0;1;0;0;0
11;1454071060;1452849801.sql;1454071060.sql;20;21;110;115;1;0;0;0;0;0;5;0
12;1454267762;1454071060.sql;1454267762.sql;21;21;115;116;0;0;1;0;0;0;0;0
13;1454395907;1454267762.sql;1454395907.sql;21;21;116;116;0;0;1;1;0;0;0;0
14;1457428508;1454395907.sql;1457428508.sql;21;21;116;116;0;0;0;0;1;0;0;0
15;1468224911;1457428508.sql;1468224911.sql;21;21;116;116;0;0;0;0;0;0;0;0
16;1468230400;1468224911.sql;1468230400.sql;21;21;116;116;0;0;0;0;0;0;0;0
17;1473750963;1468230400.sql;1473750963.sql;21;21;116;117;0;0;1;0;0;0;0;0
18;1477031756;1473750963.sql;1477031756.sql;21;21;117;118;0;0;1;0;0;0;0;0
19;1505581180;1477031756.sql;1505581180.sql;21;22;118;121;1;0;0;0;0;0;3;0
20;1506241326;1505581180.sql;1506241326.sql;22;22;121;121;0;0;1;1;0;0;0;0
21;1507700696;1506241326.sql;1507700696.sql;22;22;121;122;0;0;1;0;0;0;0;0
22;1508056685;1507700696.sql;1508056685.sql;22;22;122;123;0;0;1;0;0;0;0;0
23;1550652519;1508056685.sql;1550652519.sql;22;22;123;123;0;0;0;0;14;0;0;0
