table;dur;birth;death;chngs;s@s;s@e;sAvg
auth;24;0;-;0;4;4;4.0
bot;24;0;-;0;7;7;7.0
channel;24;0;-;1;4;4;4.0
channel_user;24;0;-;3;5;5;5.0
channellist;24;0;-;6;6;7;6.2916665
control;15;9;-;1;4;4;4.0
log;24;0;-;8;11;7;8.333333
log_join;21;3;-;1;7;6;6.047619
log_kick;19;5;-;1;8;8;8.0
log_nick;17;7;-;0;6;6;6.0
log_notice;21;3;-;5;7;7;7.0
log_part;21;3;-;1;7;7;7.0
log_privmsg;22;2;-;2;7;8;7.6363635
log_quit;21;3;-;2;7;6;6.047619
log_topic;17;7;-;1;7;7;7.0
network;24;0;-;0;2;2;2.0
plugins;5;19;-;4;3;5;4.0
preform;24;0;-;2;4;4;4.0
send;24;0;-;2;3;4;3.25
server;24;0;-;0;5;5;5.0
status;13;11;-;5;5;6;5.923077
web;24;0;-;0;4;4;4.0
