mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2015-03	2	11	55	11	0	55	0	2	2	0	0	0	0	57	2	0	57	2	59
1	2015-04	0	11	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2015-05	0	11	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2015-06	0	11	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2015-07	0	11	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2015-08	0	11	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2015-09	0	11	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2015-10	0	11	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2015-11	7	19	105	8	0	56	0	2	8	5	0	8	50	58	8	5	58	13	71
9	2015-12	1	20	109	1	0	4	0	0	0	0	0	1	4	4	0	0	4	0	4
10	2016-01	3	21	116	1	0	5	0	2	0	1	0	1	7	7	0	1	7	1	8
11	2016-02	1	21	116	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2
12	2016-03	1	21	116	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
13	2016-04	0	21	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2016-05	0	21	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2016-06	0	21	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2016-07	2	21	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2016-08	0	21	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2016-09	1	21	117	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
19	2016-10	1	21	118	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
20	2016-11	0	21	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2016-12	0	21	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	2017-01	0	21	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2017-02	0	21	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2017-03	0	21	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2017-04	0	21	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2017-05	0	21	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2017-06	0	21	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	2017-07	0	21	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	2017-08	0	21	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2017-09	2	22	121	1	0	3	0	1	1	0	0	1	3	4	1	0	4	1	5
31	2017-10	2	22	123	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2
32	2017-11	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2017-12	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	2018-01	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	2018-02	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	2018-03	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	2018-04	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	2018-05	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	2018-06	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	2018-07	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	2018-08	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	2018-09	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	2018-10	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	2018-11	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	2018-12	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	2019-01	0	22	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	2019-02	1	22	123	0	0	0	0	0	0	14	0	0	0	0	0	14	0	14	14
