;0;1;2;3;4;5;6;7;8;9;
de_auth_assignment;3;3;3;3;3;3;3;3;3;3;
de_auth_item;7;7;7;7;7;7;7;7;7;7;
de_auth_item_child;2;2;2;2;2;2;2;2;2;2;
de_auth_rule;4;4;4;4;4;4;4;4;4;4;
de_block;10;10;10;10;10;10;10;10;10;10;
de_block_kind;4;4;4;4;4;4;4;4;4;4;
de_category;10;10;12;12;12;12;12;12;12;12;
de_comment;10;10;10;10;10;10;10;10;12;12;
de_content;13;13;13;13;13;13;13;13;14;14;
de_content_article;5;5;7;7;7;7;7;7;7;7;
de_content_tag;0;0;0;0;0;0;0;0;2;2;
de_files;14;14;14;14;14;14;14;14;14;14;
de_log_action;9;9;9;9;9;9;9;9;9;9;
de_log_login;6;6;6;6;6;6;6;6;6;6;
de_menu;6;6;6;6;6;6;6;6;6;6;
de_migration;2;2;2;2;2;2;2;2;2;2;
de_plugin;6;6;6;6;6;6;6;6;6;6;
de_session;3;3;3;3;3;3;3;3;3;3;
de_setting;5;5;5;5;5;5;5;5;5;5;
de_stat_day;2;2;2;2;2;2;2;2;2;2;
de_tag;0;0;0;0;0;0;0;0;3;3;
de_user;10;10;10;10;10;10;10;10;10;10;
