table;dur;birth;death;chngs;s@s;s@e;sAvg
de_auth_assignment;10;0;-;0;3;3;3.0
de_auth_item;10;0;-;0;7;7;7.0
de_auth_item_child;10;0;-;0;2;2;2.0
de_auth_rule;10;0;-;0;4;4;4.0
de_block;10;0;-;0;10;10;10.0
de_block_kind;10;0;-;0;4;4;4.0
de_category;10;0;-;2;10;12;11.6
de_comment;10;0;-;2;10;12;10.4
de_content;10;0;-;1;13;14;13.2
de_content_article;10;0;-;3;5;7;6.6
de_content_tag;2;8;-;0;2;2;2.0
de_files;10;0;-;0;14;14;14.0
de_log_action;10;0;-;0;9;9;9.0
de_log_login;10;0;-;0;6;6;6.0
de_menu;10;0;-;0;6;6;6.0
de_migration;10;0;-;0;2;2;2.0
de_plugin;10;0;-;0;6;6;6.0
de_session;10;0;-;4;3;3;3.0
de_setting;10;0;-;0;5;5;5.0
de_stat_day;10;0;-;0;2;2;2.0
de_tag;2;8;-;0;3;3;3.0
de_user;10;0;-;0;10;10;10.0
