trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1501858353.sql;1502026790.sql;-;-;-;-;-;-;-
2;1502026790.sql;1502885773.sql;de_category;Insertion:UpdateTable;seo_description;VARCHAR(255);false;0;-
2;1502026790.sql;1502885773.sql;de_category;Insertion:UpdateTable;seo_keywords;VARCHAR(255);false;0;-
2;1502026790.sql;1502885773.sql;de_content_article;Insertion:UpdateTable;seo_description;VARCHAR(255);false;0;-
2;1502026790.sql;1502885773.sql;de_content_article;Insertion:UpdateTable;seo_keywords;VARCHAR(255);false;0;-
3;1502885773.sql;1503104048.sql;de_content_article;Update:TypeChange;detail;MEDIUMTEXTCOLLATEUTF8MB4_UNICODE_CI;false;0;-
4;1503104048.sql;1503191446.sql;-;-;-;-;-;-;-
5;1503191446.sql;1508466746.sql;de_session;Update:TypeChange;id;VARCHAR(255);false;0;-
6;1508466746.sql;1508468504.sql;de_session;Update:TypeChange;data;BLOB;false;0;-
6;1508466746.sql;1508468504.sql;de_session;Update:TypeChange;expire;INTEGER;false;0;-
6;1508466746.sql;1508468504.sql;de_session;Update:TypeChange;id;CHAR(64);true;0;-
7;1508468504.sql;1509682131.sql;-;-;-;-;-;-;-
8;1509682131.sql;1510237242.sql;de_comment;Insertion:UpdateTable;parent_id;INT(11);false;0;-
8;1509682131.sql;1510237242.sql;de_comment;Insertion:UpdateTable;reply;MEDIUMINT(8);false;0;-
8;1509682131.sql;1510237242.sql;de_content;Insertion:UpdateTable;tag;VARCHAR(255);false;0;-
8;1509682131.sql;1510237242.sql;de_content_tag;Insertion:NewTable;content_id;INT(11);false;0;-
8;1509682131.sql;1510237242.sql;de_content_tag;Insertion:NewTable;tag_id;MEDIUMINT(8);false;0;-
8;1509682131.sql;1510237242.sql;de_tag;Insertion:NewTable;id;MEDIUMINT(8);false;0;-
8;1509682131.sql;1510237242.sql;de_tag;Insertion:NewTable;name;VARCHAR(255);false;0;-
8;1509682131.sql;1510237242.sql;de_tag;Insertion:NewTable;status;TINYINT(1);false;0;-
9;1510237242.sql;1510237885.sql;-;-;-;-;-;-;-
