Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	20	0.0	0.0	0.001196315348725924
1	0	107	0.022222222222222223	0.0	0.0075966024644096184
2	0	0	0.044444444444444446	0.0	0.0075966024644096184
3	0	0	0.06666666666666667	0.0	0.0075966024644096184
4	0	0	0.08888888888888889	0.0	0.0075966024644096184
5	0	0	0.1111111111111111	0.0	0.0075966024644096184
6	0	0	0.13333333333333333	0.0	0.0075966024644096184
7	0	0	0.15555555555555556	0.0	0.0075966024644096184
8	0	92	0.17777777777777778	0.0	0.01309965306854887
9	0	197	0.2	0.0	0.024883359253499222
10	0	80	0.2222222222222222	0.0	0.029668620648402918
11	0	162	0.24444444444444444	0.0	0.039358774973082905
12	0	40	0.26666666666666666	0.0	0.04175140567053475
13	0	293	0.28888888888888886	0.0	0.05927742552936954
14	0	3194	0.3111111111111111	0.0	0.25032898672089965
15	0	1234	0.3333333333333333	0.0	0.32414164373728915
16	0	163	0.35555555555555557	0.0	0.3338916138294054
17	0	140	0.37777777777777777	0.0	0.3422658212704869
18	0	116	0.4	0.0	0.3492044502930972
19	0	4	0.4222222222222222	0.0	0.3494437133628424
20	37	1227	0.4444444444444444	1.0	0.4228376600071779
21	0	543	0.4666666666666667	1.0	0.4553176217250867
22	0	63	0.4888888888888889	1.0	0.4590860150735734
23	0	11	0.5111111111111111	1.0	0.4597439885153726
24	0	5	0.5333333333333333	1.0	0.4600430673525541
25	0	25	0.5555555555555556	1.0	0.4615384615384615
26	0	3	0.5777777777777777	1.0	0.4617179088407704
27	0	113	0.6	1.0	0.4684770905610719
28	0	45	0.6222222222222222	1.0	0.4711688000957052
29	0	42	0.6444444444444445	1.0	0.47368106232802965
30	0	6	0.6666666666666666	1.0	0.47403995693264744
31	0	5	0.6888888888888889	1.0	0.47433903576982894
32	0	7	0.7111111111111111	1.0	0.47475774614188304
33	0	139	0.7333333333333333	1.0	0.4830721378155282
34	0	113	0.7555555555555555	1.0	0.4898313195358297
35	0	62	0.7777777777777778	1.0	0.49353989711688007
36	0	27	0.8	1.0	0.49515492283766005
37	0	228	0.8222222222222222	1.0	0.5087929178131356
38	0	92	0.8444444444444444	1.0	0.5142959684172749
39	0	18	0.8666666666666667	1.0	0.5153726522311282
40	0	0	0.8888888888888888	1.0	0.5153726522311282
41	0	8	0.9111111111111111	1.0	0.5158511783706186
42	0	17	0.9333333333333333	1.0	0.5168680464170355
43	0	13	0.9555555555555556	1.0	0.5176456513937074
44	0	4	0.9777777777777777	1.0	0.5178849144634526
45	0	8060	1.0	1.0	1.0
