Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	41	139	0.0	0.9761904761904762	0.7277486910994765
1	0	3	0.05	0.9761904761904762	0.743455497382199
2	0	15	0.1	0.9761904761904762	0.8219895287958116
3	1	2	0.15	1.0	0.8324607329842932
4	0	0	0.2	1.0	0.8324607329842932
5	0	0	0.25	1.0	0.8324607329842932
6	0	15	0.3	1.0	0.9109947643979058
7	0	4	0.35	1.0	0.9319371727748692
8	0	3	0.4	1.0	0.9476439790575917
9	0	0	0.45	1.0	0.9476439790575917
10	0	0	0.5	1.0	0.9476439790575917
11	0	0	0.55	1.0	0.9476439790575917
12	0	0	0.6	1.0	0.9476439790575917
13	0	0	0.65	1.0	0.9476439790575917
14	0	0	0.7	1.0	0.9476439790575917
15	0	0	0.75	1.0	0.9476439790575917
16	0	0	0.8	1.0	0.9476439790575917
17	0	0	0.85	1.0	0.9476439790575917
18	0	0	0.9	1.0	0.9476439790575917
19	0	0	0.95	1.0	0.9476439790575917
20	0	10	1.0	1.0	1.0
