Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	5	84	0.0	0.017361111111111112	0.055445544554455446
1	0	24	0.01694915254237288	0.017361111111111112	0.0712871287128713
2	0	0	0.03389830508474576	0.017361111111111112	0.0712871287128713
3	0	0	0.05084745762711865	0.017361111111111112	0.0712871287128713
4	0	69	0.06779661016949153	0.017361111111111112	0.11683168316831684
5	0	2	0.0847457627118644	0.017361111111111112	0.11815181518151815
6	0	42	0.1016949152542373	0.017361111111111112	0.14587458745874587
7	1	131	0.11864406779661017	0.020833333333333336	0.23234323432343235
8	0	50	0.13559322033898305	0.020833333333333336	0.26534653465346536
9	268	29	0.15254237288135594	0.951388888888889	0.2844884488448845
10	0	37	0.1694915254237288	0.951388888888889	0.3089108910891089
11	0	0	0.1864406779661017	0.951388888888889	0.3089108910891089
12	0	18	0.2033898305084746	0.951388888888889	0.3207920792079208
13	0	96	0.22033898305084745	0.951388888888889	0.38415841584158417
14	0	0	0.23728813559322035	0.951388888888889	0.38415841584158417
15	0	0	0.2542372881355932	0.951388888888889	0.38415841584158417
16	1	48	0.2711864406779661	0.9548611111111112	0.4158415841584159
17	0	33	0.288135593220339	0.9548611111111112	0.4376237623762377
18	0	11	0.3050847457627119	0.9548611111111112	0.44488448844884493
19	0	32	0.3220338983050847	0.9548611111111112	0.46600660066006605
20	0	2	0.3389830508474576	0.9548611111111112	0.46732673267326735
21	0	1	0.3559322033898305	0.9548611111111112	0.46798679867986803
22	0	17	0.3728813559322034	0.9548611111111112	0.47920792079207924
23	0	16	0.3898305084745763	0.9548611111111112	0.48976897689768983
24	0	16	0.4067796610169492	0.9548611111111112	0.5003300330033004
25	0	17	0.423728813559322	0.9548611111111112	0.5115511551155116
26	0	14	0.4406779661016949	0.9548611111111112	0.5207920792079209
27	0	5	0.4576271186440678	0.9548611111111112	0.5240924092409243
28	0	89	0.4745762711864407	0.9548611111111112	0.582838283828383
29	0	71	0.4915254237288136	0.9548611111111112	0.6297029702970298
30	0	16	0.5084745762711864	0.9548611111111112	0.6402640264026404
31	0	2	0.5254237288135594	0.9548611111111112	0.6415841584158417
32	0	0	0.5423728813559322	0.9548611111111112	0.6415841584158417
33	0	4	0.559322033898305	0.9548611111111112	0.6442244224422443
34	0	2	0.576271186440678	0.9548611111111112	0.6455445544554457
35	0	0	0.5932203389830508	0.9548611111111112	0.6455445544554457
36	0	1	0.6101694915254238	0.9548611111111112	0.6462046204620463
37	0	18	0.6271186440677966	0.9548611111111112	0.6580858085808582
38	10	54	0.6440677966101694	0.9895833333333334	0.6937293729372939
39	0	4	0.6610169491525424	0.9895833333333334	0.6963696369636965
40	0	0	0.6779661016949152	0.9895833333333334	0.6963696369636965
41	0	0	0.6949152542372882	0.9895833333333334	0.6963696369636965
42	0	1	0.711864406779661	0.9895833333333334	0.6970297029702971
43	0	0	0.7288135593220338	0.9895833333333334	0.6970297029702971
44	0	0	0.7457627118644068	0.9895833333333334	0.6970297029702971
45	0	0	0.7627118644067796	0.9895833333333334	0.6970297029702971
46	0	3	0.7796610169491526	0.9895833333333334	0.6990099009900991
47	0	95	0.7966101694915254	0.9895833333333334	0.7617161716171618
48	0	127	0.8135593220338984	0.9895833333333334	0.8455445544554456
49	1	122	0.8305084745762712	0.9930555555555556	0.9260726072607262
50	0	22	0.847457627118644	0.9930555555555556	0.9405940594059407
51	0	20	0.864406779661017	0.9930555555555556	0.9537953795379539
52	2	16	0.8813559322033898	1.0	0.9643564356435644
53	0	5	0.8983050847457628	1.0	0.9676567656765678
54	0	4	0.9152542372881356	1.0	0.9702970297029704
55	0	0	0.9322033898305084	1.0	0.9702970297029704
56	0	3	0.9491525423728814	1.0	0.9722772277227724
57	0	28	0.9661016949152542	1.0	0.9907590759075908
58	0	12	0.9830508474576272	1.0	0.9986798679867988
59	0	2	1.0	1.0	1.0
