Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	19	30	0.0	0.38	0.05084745762711865
1	0	7	0.047619047619047616	0.38	0.06271186440677967
2	20	96	0.09523809523809523	0.78	0.22542372881355932
3	0	84	0.14285714285714285	0.78	0.3677966101694915
4	11	146	0.19047619047619047	1.0	0.6152542372881356
5	0	14	0.23809523809523808	1.0	0.6389830508474575
6	0	0	0.2857142857142857	1.0	0.6389830508474575
7	0	1	0.3333333333333333	1.0	0.6406779661016948
8	0	76	0.38095238095238093	1.0	0.7694915254237287
9	0	0	0.42857142857142855	1.0	0.7694915254237287
10	0	0	0.47619047619047616	1.0	0.7694915254237287
11	0	4	0.5238095238095238	1.0	0.7762711864406778
12	0	27	0.5714285714285714	1.0	0.8220338983050846
13	0	16	0.6190476190476191	1.0	0.8491525423728812
14	0	72	0.6666666666666666	1.0	0.9711864406779659
15	0	5	0.7142857142857143	1.0	0.9796610169491523
16	0	1	0.7619047619047619	1.0	0.9813559322033896
17	0	0	0.8095238095238095	1.0	0.9813559322033896
18	0	0	0.8571428571428571	1.0	0.9813559322033896
19	0	9	0.9047619047619048	1.0	0.9966101694915251
20	0	0	0.9523809523809523	1.0	0.9966101694915251
21	0	2	1.0	1.0	0.9999999999999997
