Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	263	0.0	0.0	0.04231016731016731
1	0	0	0.010526315789473684	0.0	0.04231016731016731
2	0	0	0.021052631578947368	0.0	0.04231016731016731
3	0	0	0.031578947368421054	0.0	0.04231016731016731
4	0	0	0.042105263157894736	0.0	0.04231016731016731
5	0	0	0.05263157894736842	0.0	0.04231016731016731
6	0	320	0.06315789473684211	0.0	0.09379021879021879
7	0	15	0.07368421052631578	0.0	0.0962033462033462
8	0	101	0.08421052631578947	0.0	0.11245173745173745
9	0	1274	0.09473684210526316	0.0	0.3174066924066924
10	0	65	0.10526315789473684	0.0	0.32786357786357784
11	0	140	0.11578947368421053	0.0	0.35038610038610035
12	0	69	0.12631578947368421	0.0	0.36148648648648646
13	0	0	0.1368421052631579	0.0	0.36148648648648646
14	0	53	0.14736842105263157	0.0	0.37001287001287
15	0	5	0.15789473684210525	0.0	0.3708172458172458
16	0	61	0.16842105263157894	0.0	0.38063063063063063
17	57	511	0.17894736842105263	0.3131868131868132	0.46283783783783783
18	5	367	0.18947368421052632	0.34065934065934067	0.5218790218790219
19	0	88	0.2	0.34065934065934067	0.5360360360360361
20	0	60	0.21052631578947367	0.34065934065934067	0.5456885456885457
21	116	412	0.22105263157894736	0.978021978021978	0.611969111969112
22	2	359	0.23157894736842105	0.9890109890109889	0.6697232947232947
23	0	124	0.24210526315789474	0.9890109890109889	0.6896718146718147
24	0	71	0.25263157894736843	0.9890109890109889	0.7010939510939511
25	0	8	0.2631578947368421	0.9890109890109889	0.7023809523809524
26	0	2	0.2736842105263158	0.9890109890109889	0.7027027027027027
27	0	0	0.28421052631578947	0.9890109890109889	0.7027027027027027
28	0	0	0.29473684210526313	0.9890109890109889	0.7027027027027027
29	0	0	0.30526315789473685	0.9890109890109889	0.7027027027027027
30	0	79	0.3157894736842105	0.9890109890109889	0.7154118404118405
31	0	365	0.3263157894736842	0.9890109890109889	0.7741312741312742
32	0	34	0.3368421052631579	0.9890109890109889	0.7796010296010297
33	0	2	0.3473684210526316	0.9890109890109889	0.77992277992278
34	0	9	0.35789473684210527	0.9890109890109889	0.7813706563706565
35	0	26	0.3684210526315789	0.9890109890109889	0.7855534105534107
36	0	3	0.37894736842105264	0.9890109890109889	0.7860360360360361
37	0	2	0.3894736842105263	0.9890109890109889	0.7863577863577864
38	0	22	0.4	0.9890109890109889	0.78989703989704
39	0	25	0.4105263157894737	0.9890109890109889	0.793918918918919
40	0	83	0.42105263157894735	0.9890109890109889	0.8072715572715573
41	0	94	0.43157894736842106	0.9890109890109889	0.8223938223938224
42	0	1	0.4421052631578947	0.9890109890109889	0.8225546975546976
43	0	6	0.45263157894736844	0.9890109890109889	0.8235199485199486
44	0	0	0.4631578947368421	0.9890109890109889	0.8235199485199486
45	0	3	0.47368421052631576	0.9890109890109889	0.824002574002574
46	0	2	0.4842105263157895	0.9890109890109889	0.8243243243243243
47	1	113	0.49473684210526314	0.9945054945054944	0.8425032175032175
48	0	3	0.5052631578947369	0.9945054945054944	0.842985842985843
49	0	29	0.5157894736842106	0.9945054945054944	0.8476512226512227
50	0	39	0.5263157894736842	0.9945054945054944	0.853925353925354
51	0	39	0.5368421052631579	0.9945054945054944	0.8601994851994852
52	0	3	0.5473684210526316	0.9945054945054944	0.8606821106821106
53	0	4	0.5578947368421052	0.9945054945054944	0.8613256113256113
54	0	17	0.5684210526315789	0.9945054945054944	0.8640604890604889
55	0	4	0.5789473684210527	0.9945054945054944	0.8647039897039895
56	0	39	0.5894736842105263	0.9945054945054944	0.8709781209781208
57	0	180	0.6	0.9945054945054944	0.8999356499356498
58	0	140	0.6105263157894737	0.9945054945054944	0.9224581724581723
59	0	6	0.6210526315789474	0.9945054945054944	0.9234234234234233
60	0	15	0.631578947368421	0.9945054945054944	0.9258365508365507
61	0	41	0.6421052631578947	0.9945054945054944	0.9324324324324323
62	0	1	0.6526315789473685	0.9945054945054944	0.9325933075933075
63	0	4	0.6631578947368421	0.9945054945054944	0.9332368082368081
64	0	0	0.6736842105263158	0.9945054945054944	0.9332368082368081
65	0	1	0.6842105263157895	0.9945054945054944	0.9333976833976833
66	0	0	0.6947368421052632	0.9945054945054944	0.9333976833976833
67	1	1	0.7052631578947368	0.9999999999999999	0.9335585585585584
68	0	2	0.7157894736842105	0.9999999999999999	0.9338803088803087
69	0	17	0.7263157894736842	0.9999999999999999	0.9366151866151864
70	0	1	0.7368421052631579	0.9999999999999999	0.9367760617760615
71	0	9	0.7473684210526316	0.9999999999999999	0.938223938223938
72	0	3	0.7578947368421053	0.9999999999999999	0.9387065637065635
73	0	18	0.7684210526315789	0.9999999999999999	0.9416023166023164
74	0	41	0.7789473684210526	0.9999999999999999	0.9481981981981981
75	0	0	0.7894736842105263	0.9999999999999999	0.9481981981981981
76	0	1	0.8	0.9999999999999999	0.9483590733590732
77	0	3	0.8105263157894737	0.9999999999999999	0.9488416988416987
78	0	10	0.8210526315789474	0.9999999999999999	0.9504504504504503
79	0	1	0.8315789473684211	0.9999999999999999	0.9506113256113254
80	0	0	0.8421052631578947	0.9999999999999999	0.9506113256113254
81	0	245	0.8526315789473684	0.9999999999999999	0.9900257400257398
82	0	38	0.8631578947368421	0.9999999999999999	0.9961389961389959
83	0	0	0.8736842105263158	0.9999999999999999	0.9961389961389959
84	0	2	0.8842105263157894	0.9999999999999999	0.9964607464607462
85	0	3	0.8947368421052632	0.9999999999999999	0.9969433719433717
86	0	8	0.9052631578947369	0.9999999999999999	0.998230373230373
87	0	2	0.9157894736842105	0.9999999999999999	0.9985521235521233
88	0	2	0.9263157894736842	0.9999999999999999	0.9988738738738736
89	0	0	0.9368421052631579	0.9999999999999999	0.9988738738738736
90	0	0	0.9473684210526315	0.9999999999999999	0.9988738738738736
91	0	2	0.9578947368421052	0.9999999999999999	0.9991956241956239
92	0	4	0.968421052631579	0.9999999999999999	0.9998391248391245
93	0	0	0.9789473684210527	0.9999999999999999	0.9998391248391245
94	0	0	0.9894736842105263	0.9999999999999999	0.9998391248391245
95	0	1	1.0	0.9999999999999999	0.9999999999999997
