Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	13	51	0.0	0.48148148148148145	0.25757575757575757
1	14	98	0.038461538461538464	1.0	0.7525252525252526
2	0	21	0.07692307692307693	1.0	0.8585858585858587
3	0	1	0.11538461538461539	1.0	0.8636363636363638
4	0	22	0.15384615384615385	1.0	0.9747474747474749
5	0	0	0.19230769230769232	1.0	0.9747474747474749
6	0	0	0.23076923076923078	1.0	0.9747474747474749
7	0	0	0.2692307692307692	1.0	0.9747474747474749
8	0	0	0.3076923076923077	1.0	0.9747474747474749
9	0	0	0.34615384615384615	1.0	0.9747474747474749
10	0	0	0.38461538461538464	1.0	0.9747474747474749
11	0	0	0.4230769230769231	1.0	0.9747474747474749
12	0	0	0.46153846153846156	1.0	0.9747474747474749
13	0	0	0.5	1.0	0.9747474747474749
14	0	0	0.5384615384615384	1.0	0.9747474747474749
15	0	0	0.5769230769230769	1.0	0.9747474747474749
16	0	0	0.6153846153846154	1.0	0.9747474747474749
17	0	0	0.6538461538461539	1.0	0.9747474747474749
18	0	0	0.6923076923076923	1.0	0.9747474747474749
19	0	1	0.7307692307692307	1.0	0.97979797979798
20	0	0	0.7692307692307693	1.0	0.97979797979798
21	0	0	0.8076923076923077	1.0	0.97979797979798
22	0	0	0.8461538461538461	1.0	0.97979797979798
23	0	0	0.8846153846153846	1.0	0.97979797979798
24	0	0	0.9230769230769231	1.0	0.97979797979798
25	0	0	0.9615384615384616	1.0	0.97979797979798
26	0	4	1.0	1.0	1.0000000000000002
