Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	41	223	0.0	0.2679738562091503	0.2896103896103896
1	10	287	0.034482758620689655	0.3333333333333333	0.6623376623376623
2	74	100	0.06896551724137931	0.8169934640522876	0.7922077922077921
3	0	17	0.10344827586206896	0.8169934640522876	0.8142857142857142
4	1	6	0.13793103448275862	0.8235294117647058	0.822077922077922
5	0	3	0.1724137931034483	0.8235294117647058	0.8259740259740258
6	0	22	0.20689655172413793	0.8235294117647058	0.8545454545454544
7	0	2	0.2413793103448276	0.8235294117647058	0.857142857142857
8	0	0	0.27586206896551724	0.8235294117647058	0.857142857142857
9	0	0	0.3103448275862069	0.8235294117647058	0.857142857142857
10	0	0	0.3448275862068966	0.8235294117647058	0.857142857142857
11	0	0	0.3793103448275862	0.8235294117647058	0.857142857142857
12	0	2	0.41379310344827586	0.8235294117647058	0.8597402597402596
13	0	1	0.4482758620689655	0.8235294117647058	0.8610389610389608
14	0	0	0.4827586206896552	0.8235294117647058	0.8610389610389608
15	0	2	0.5172413793103449	0.8235294117647058	0.8636363636363634
16	0	1	0.5517241379310345	0.8235294117647058	0.8649350649350647
17	0	0	0.5862068965517241	0.8235294117647058	0.8649350649350647
18	0	4	0.6206896551724138	0.8235294117647058	0.8701298701298699
19	0	0	0.6551724137931034	0.8235294117647058	0.8701298701298699
20	0	0	0.6896551724137931	0.8235294117647058	0.8701298701298699
21	0	1	0.7241379310344828	0.8235294117647058	0.8714285714285711
22	0	0	0.7586206896551724	0.8235294117647058	0.8714285714285711
23	0	0	0.7931034482758621	0.8235294117647058	0.8714285714285711
24	0	0	0.8275862068965517	0.8235294117647058	0.8714285714285711
25	0	0	0.8620689655172413	0.8235294117647058	0.8714285714285711
26	0	0	0.896551724137931	0.8235294117647058	0.8714285714285711
27	27	37	0.9310344827586207	1.0	0.9194805194805191
28	0	46	0.9655172413793104	1.0	0.9792207792207789
29	0	16	1.0	1.0	0.9999999999999997
