Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	0	9	0.0	0.0	0.006373937677053824
1	332	548	0.02631578947368421	0.9222222222222223	0.3944759206798867
2	0	84	0.05263157894736842	0.9222222222222223	0.45396600566572237
3	0	14	0.07894736842105263	0.9222222222222223	0.46388101983002833
4	0	50	0.10526315789473684	0.9222222222222223	0.4992917847025496
5	0	11	0.13157894736842105	0.9222222222222223	0.5070821529745043
6	0	11	0.15789473684210525	0.9222222222222223	0.514872521246459
7	0	8	0.18421052631578946	0.9222222222222223	0.5205382436260624
8	3	52	0.21052631578947367	0.9305555555555556	0.5573654390934845
9	1	22	0.23684210526315788	0.9333333333333333	0.5729461756373938
10	0	9	0.2631578947368421	0.9333333333333333	0.5793201133144477
11	0	5	0.2894736842105263	0.9333333333333333	0.5828611898016998
12	0	285	0.3157894736842105	0.9333333333333333	0.7847025495750709
13	0	4	0.34210526315789475	0.9333333333333333	0.7875354107648727
14	21	54	0.3684210526315789	0.9916666666666667	0.8257790368271956
15	1	63	0.39473684210526316	0.9944444444444445	0.8703966005665723
16	2	37	0.42105263157894735	1.0	0.8966005665722381
17	0	6	0.4473684210526316	1.0	0.9008498583569406
18	0	1	0.47368421052631576	1.0	0.9015580736543911
19	0	0	0.5	1.0	0.9015580736543911
20	0	0	0.5263157894736842	1.0	0.9015580736543911
21	0	0	0.5526315789473685	1.0	0.9015580736543911
22	0	1	0.5789473684210527	1.0	0.9022662889518416
23	0	0	0.6052631578947368	1.0	0.9022662889518416
24	0	0	0.631578947368421	1.0	0.9022662889518416
25	0	0	0.6578947368421053	1.0	0.9022662889518416
26	0	0	0.6842105263157895	1.0	0.9022662889518416
27	0	0	0.7105263157894737	1.0	0.9022662889518416
28	0	0	0.7368421052631579	1.0	0.9022662889518416
29	0	0	0.7631578947368421	1.0	0.9022662889518416
30	0	0	0.7894736842105263	1.0	0.9022662889518416
31	0	0	0.8157894736842105	1.0	0.9022662889518416
32	0	0	0.8421052631578947	1.0	0.9022662889518416
33	0	0	0.868421052631579	1.0	0.9022662889518416
34	0	0	0.8947368421052632	1.0	0.9022662889518416
35	0	0	0.9210526315789473	1.0	0.9022662889518416
36	0	0	0.9473684210526315	1.0	0.9022662889518416
37	0	134	0.9736842105263158	1.0	0.9971671388101985
38	0	4	1.0	1.0	1.0000000000000002
