Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	14	31	0.0	0.7777777777777778	0.3924050632911392
1	0	0	0.03571428571428571	0.7777777777777778	0.3924050632911392
2	0	0	0.07142857142857142	0.7777777777777778	0.3924050632911392
3	0	0	0.10714285714285714	0.7777777777777778	0.3924050632911392
4	0	0	0.14285714285714285	0.7777777777777778	0.3924050632911392
5	0	0	0.17857142857142858	0.7777777777777778	0.3924050632911392
6	0	0	0.21428571428571427	0.7777777777777778	0.3924050632911392
7	0	0	0.25	0.7777777777777778	0.3924050632911392
8	4	16	0.2857142857142857	1.0	0.5949367088607594
9	0	0	0.32142857142857145	1.0	0.5949367088607594
10	0	0	0.35714285714285715	1.0	0.5949367088607594
11	0	0	0.39285714285714285	1.0	0.5949367088607594
12	0	7	0.42857142857142855	1.0	0.6835443037974683
13	0	5	0.4642857142857143	1.0	0.7468354430379747
14	0	0	0.5	1.0	0.7468354430379747
15	0	0	0.5357142857142857	1.0	0.7468354430379747
16	0	0	0.5714285714285714	1.0	0.7468354430379747
17	0	0	0.6071428571428571	1.0	0.7468354430379747
18	0	0	0.6428571428571429	1.0	0.7468354430379747
19	0	0	0.6785714285714286	1.0	0.7468354430379747
20	0	0	0.7142857142857143	1.0	0.7468354430379747
21	0	0	0.75	1.0	0.7468354430379747
22	0	11	0.7857142857142857	1.0	0.8860759493670886
23	0	0	0.8214285714285714	1.0	0.8860759493670886
24	0	2	0.8571428571428571	1.0	0.9113924050632911
25	0	0	0.8928571428571429	1.0	0.9113924050632911
26	0	2	0.9285714285714286	1.0	0.9367088607594937
27	0	1	0.9642857142857143	1.0	0.9493670886075949
28	0	4	1.0	1.0	1.0
