Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity
0	40	1019	0.0	1.0	0.9951171875
1	0	0	0.03125	1.0	0.9951171875
2	0	0	0.0625	1.0	0.9951171875
3	0	0	0.09375	1.0	0.9951171875
4	0	0	0.125	1.0	0.9951171875
5	0	0	0.15625	1.0	0.9951171875
6	0	0	0.1875	1.0	0.9951171875
7	0	0	0.21875	1.0	0.9951171875
8	0	0	0.25	1.0	0.9951171875
9	0	0	0.28125	1.0	0.9951171875
10	0	0	0.3125	1.0	0.9951171875
11	0	0	0.34375	1.0	0.9951171875
12	0	0	0.375	1.0	0.9951171875
13	0	0	0.40625	1.0	0.9951171875
14	0	0	0.4375	1.0	0.9951171875
15	0	0	0.46875	1.0	0.9951171875
16	0	0	0.5	1.0	0.9951171875
17	0	0	0.53125	1.0	0.9951171875
18	0	0	0.5625	1.0	0.9951171875
19	0	0	0.59375	1.0	0.9951171875
20	0	0	0.625	1.0	0.9951171875
21	0	0	0.65625	1.0	0.9951171875
22	0	0	0.6875	1.0	0.9951171875
23	0	0	0.71875	1.0	0.9951171875
24	0	0	0.75	1.0	0.9951171875
25	0	0	0.78125	1.0	0.9951171875
26	0	0	0.8125	1.0	0.9951171875
27	0	0	0.84375	1.0	0.9951171875
28	0	0	0.875	1.0	0.9951171875
29	0	0	0.90625	1.0	0.9951171875
30	0	0	0.9375	1.0	0.9951171875
31	0	0	0.96875	1.0	0.9951171875
32	0	5	1.0	1.0	1.0
